"Tabela 10061 - Pessoas de 18 anos ou mais de idade, por nível de instrução, segundo os grupos de idade, o sexo e a cor ou raça"
"Variável - Pessoas de 18 anos ou mais de idade (Pessoas)"
"Brasil, Grande Região e Unidade da Federação";"Sexo";"Cor ou raça";"Ano x Nível de instrução x Grupo de idade"
"Brasil, Grande Região e Unidade da Federação";"Sexo";"Cor ou raça";"2022"
"Brasil, Grande Região e Unidade da Federação";"Sexo";"Cor ou raça";"Sem instrução e fundamental incompleto";;;;;;;;;;;;;;;;;;"Fundamental completo e médio incompleto";;;;;;;;;;;;;;;;;;"Médio completo e superior incompleto";;;;;;;;;;;;;;;;;;"Superior completo"
"Brasil, Grande Região e Unidade da Federação";"Sexo";"Cor ou raça";"18 a 24 anos";"18 a 19 anos";"20 a 24 anos";"25 anos ou mais";"25 a 64 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 anos ou mais";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos ou mais";"18 a 24 anos";"18 a 19 anos";"20 a 24 anos";"25 anos ou mais";"25 a 64 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 anos ou mais";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos ou mais";"18 a 24 anos";"18 a 19 anos";"20 a 24 anos";"25 anos ou mais";"25 a 64 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 anos ou mais";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos ou mais";"18 a 24 anos";"18 a 19 anos";"20 a 24 anos";"25 anos ou mais";"25 a 64 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 anos ou mais";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos ou mais"
"Nordeste";"Homens";"Branca";"114205";"31494";"82712";"1758630";"1275547";"93387";"112250";"143150";"184195";"193317";"199493";"188782";"160973";"483083";"135145";"125089";"94824";"128025";"184761";"82359";"102401";"490679";"439231";"78836";"71093";"70467";"60425";"47146";"43245";"38596";"29424";"51448";"21053";"13620";"8091";"8683";"410200";"97263";"312937";"1192695";"1097113";"224132";"190764";"183441";"156481";"112743";"90243";"77586";"61723";"95582";"40966";"26108";"15236";"13272";"34134";"1468";"32666";"685356";"599045";"90819";"105874";"105255";"93777";"64060";"52087";"46886";"40287";"86311";"32739";"24774";"14264";"14534"
"Nordeste";"Homens";"Preta";"88682";"23271";"65412";"1293354";"997700";"76515";"88976";"114133";"148121";"154377";"151675";"139642";"124260";"295654";"97325";"80159";"54040";"64130";"133648";"52407";"81241";"340943";"319894";"61858";"54845";"54217";"45994";"35110";"28666";"23148";"16057";"21049";"10482";"5496";"2672";"2399";"190259";"37075";"153183";"712858";"681622";"137129";"121438";"125708";"107403";"73331";"52320";"37865";"26427";"31236";"15806";"8113";"4002";"3315";"10217";"455";"9762";"178777";"168377";"26871";"30673";"31381";"27482";"19557";"14123";"10867";"7422";"10400";"5033";"3272";"1116";"980"
"Nordeste";"Homens";"Amarela";"511";"138";"373";"7695";"5841";"528";"673";"610";"912";"815";"729";"858";"717";"1854";"484";"559";"422";"390";"1011";"474";"536";"2364";"2224";"466";"387";"374";"273";"170";"220";"229";"105";"140";"27";"59";"44";"10";"1644";"498";"1147";"5702";"5164";"1168";"996";"918";"714";"344";"357";"300";"367";"538";"199";"125";"139";"74";"105";"-";"105";"3308";"2802";"445";"360";"441";"395";"343";"360";"212";"248";"506";"194";"202";"82";"28"
"Nordeste";"Homens";"Parda";"356822";"98060";"258762";"4786461";"3725822";"299790";"362913";"458796";"556981";"559071";"546607";"508381";"433283";"1060640";"349054";"285166";"197649";"228770";"533398";"221247";"312151";"1279410";"1195815";"246513";"220598";"207304";"165162";"118403";"96573";"81805";"59458";"83595";"38890";"23194";"11699";"9813";"885720";"204068";"681652";"2602573";"2479076";"542726";"465118";"447953";"370727";"239690";"176737";"138859";"97265";"123496";"62367";"33586";"15786";"11756";"46694";"2498";"44197";"780399";"720481";"118533";"128788";"131649";"116155";"80258";"59721";"48161";"37216";"59918";"27505";"18000";"8699";"5715"
"Nordeste";"Homens";"Indígena";"6353";"1877";"4476";"50519";"39808";"4083";"4167";"5465";"5519";"5865";"5167";"5335";"4207";"10711";"3537";"2735";"1978";"2461";"5830";"2237";"3593";"11924";"11326";"2565";"2101";"2032";"1511";"1158";"808";"634";"517";"598";"247";"146";"102";"103";"8339";"1649";"6690";"21067";"20277";"4834";"4487";"3342";"2979";"1845";"1182";"1000";"608";"790";"367";"242";"87";"94";"258";"24";"235";"5093";"4552";"747";"863";"835";"561";"586";"375";"348";"237";"541";"259";"108";"93";"81"
"Nordeste";"Mulheres";"Branca";"65831";"17874";"47957";"1797833";"1133707";"57212";"76781";"110723";"150782";"172830";"187719";"196035";"181624";"664126";"164150";"160120";"127714";"212143";"151635";"70071";"81563";"541540";"461859";"67693";"64980";"70650";"65727";"57427";"52230";"46760";"36394";"79682";"25794";"19593";"13487";"20807";"478458";"124290";"354168";"1515928";"1355372";"250466";"220885";"221830";"200925";"151656";"124465";"104456";"80690";"160556";"60732";"41269";"25670";"32885";"59076";"2867";"56209";"1124919";"991559";"146062";"165045";"167555";"155290";"113223";"94552";"83567";"66265";"133360";"51869";"37014";"23165";"21312"
"Nordeste";"Mulheres";"Preta";"45922";"12467";"33455";"1098107";"760798";"42918";"52438";"75291";"102582";"113316";"122385";"130003";"121866";"337309";"105176";"87787";"60804";"83543";"102996";"42179";"60817";"320022";"294343";"51548";"45887";"47605";"43370";"34673";"29106";"24388";"17766";"25679";"11516";"6542";"3816";"3806";"222246";"47176";"175070";"785897";"746607";"148017";"133801";"136232";"115360";"80906";"59134";"42841";"30315";"39291";"19779";"10569";"4767";"4176";"17100";"837";"16263";"297452";"280949";"41461";"47345";"51651";"46678";"33473";"26714";"19800";"13826";"16503";"7694";"5241";"1997";"1571"
"Nordeste";"Mulheres";"Amarela";"629";"136";"494";"10107";"7470";"695";"710";"827";"970";"1344";"1046";"962";"916";"2637";"641";"743";"546";"707";"1371";"641";"730";"3295";"3014";"529";"493";"507";"371";"341";"337";"259";"177";"281";"66";"134";"35";"47";"3082";"889";"2193";"8706";"7985";"1828";"1375";"1313";"1370";"801";"555";"400";"343";"721";"318";"169";"84";"151";"307";"3";"304";"5389";"5002";"1020";"768";"888";"708";"501";"379";"447";"289";"387";"137";"69";"111";"69"
"Nordeste";"Mulheres";"Parda";"221449";"57787";"163662";"4558683";"3292251";"202709";"270733";"367098";"465123";"492082";"513314";"526179";"455013";"1266432";"384203";"326686";"235302";"320241";"462922";"189315";"273608";"1414000";"1307689";"243496";"231518";"219761";"182268";"142057";"117054";"98957";"72578";"106311";"45015";"28331";"15682";"17284";"1062215";"254076";"808139";"3336831";"3164306";"666778";"603672";"569234";"460059";"318479";"237589";"181458";"127037";"172524";"80622";"47472";"23083";"21347";"84337";"4794";"79543";"1403576";"1302977";"201465";"224122";"234393";"207540";"149068";"117951";"97673";"70765";"100598";"48193";"29466";"13043";"9897"
"Nordeste";"Mulheres";"Indígena";"4468";"1277";"3191";"48853";"36110";"3031";"3530";"4048";"5330";"5043";"4868";"5371";"4888";"12743";"3700";"2994";"2391";"3659";"5444";"2135";"3309";"11732";"10981";"2255";"2008";"1913";"1460";"1079";"869";"793";"604";"751";"418";"175";"65";"93";"9596";"2111";"7486";"26059";"25043";"5888";"5054";"4434";"3399";"2424";"1751";"1205";"889";"1016";"384";"337";"120";"175";"652";"36";"616";"10473";"9714";"1214";"1736";"1749";"1530";"1361";"998";"685";"442";"759";"376";"262";"61";"59"
