"Tabela 10061 - Pessoas de 18 anos ou mais de idade, por nível de instrução, segundo os grupos de idade, o sexo e a cor ou raça"
"Variável - Pessoas de 18 anos ou mais de idade (Pessoas)"
"Brasil, Grande Região e Unidade da Federação";"Sexo";"Cor ou raça";"Ano x Nível de instrução x Grupo de idade"
"Brasil, Grande Região e Unidade da Federação";"Sexo";"Cor ou raça";"2022"
"Brasil, Grande Região e Unidade da Federação";"Sexo";"Cor ou raça";"Sem instrução e fundamental incompleto";;;;;;;;;;;;;;;;;;"Fundamental completo e médio incompleto";;;;;;;;;;;;;;;;;;"Médio completo e superior incompleto";;;;;;;;;;;;;;;;;;"Superior completo"
"Brasil, Grande Região e Unidade da Federação";"Sexo";"Cor ou raça";"18 a 24 anos";"18 a 19 anos";"20 a 24 anos";"25 anos ou mais";"25 a 64 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 anos ou mais";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos ou mais";"18 a 24 anos";"18 a 19 anos";"20 a 24 anos";"25 anos ou mais";"25 a 64 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 anos ou mais";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos ou mais";"18 a 24 anos";"18 a 19 anos";"20 a 24 anos";"25 anos ou mais";"25 a 64 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 anos ou mais";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos ou mais";"18 a 24 anos";"18 a 19 anos";"20 a 24 anos";"25 anos ou mais";"25 a 64 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 anos ou mais";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos ou mais"
"Mato Grosso do Sul";"Mulheres";"Parda";"9701";"2714";"6988";"160364";"117320";"8216";"9425";"11643";"15104";"16629";"18484";"19080";"18738";"43045";"14937";"11411";"7643";"9055";"19312";"7173";"12140";"65759";"60795";"11965";"9735";"9372";"8929";"6913";"5195";"5140";"3547";"4964";"2487";"1283";"640";"554";"36039";"9111";"26928";"117649";"112588";"22667";"20936";"18841";"16208";"12622";"10019";"6992";"4304";"5061";"2722";"1118";"693";"528";"5335";"278";"5057";"70044";"66257";"11198";"11566";"11538";"10776";"7689";"6065";"4415";"3011";"3787";"1989";"1139";"365";"295"
"Mato Grosso do Sul";"Mulheres";"Indígena";"2568";"791";"1777";"13833";"11275";"1793";"1640";"1873";"1562";"1424";"1204";"1035";"745";"2559";"786";"516";"475";"782";"2299";"892";"1407";"2953";"2854";"886";"704";"518";"282";"300";"58";"42";"62";"99";"22";"71";"5";"1";"2203";"566";"1637";"4064";"3926";"1513";"849";"641";"286";"238";"247";"92";"61";"139";"67";"35";"7";"30";"78";"12";"67";"1319";"1312";"269";"279";"193";"224";"185";"76";"43";"43";"8";"1";"7";"-";"-"
"Mato Grosso";"Homens";"Branca";"5559";"1441";"4118";"127685";"91507";"5136";"6656";"8296";"11456";"13301";"15502";"16526";"14634";"36178";"12491";"9764";"6644";"7279";"15759";"5929";"9830";"54526";"49217";"8780";"7344";"7036";"6565";"5512";"5499";"4718";"3763";"5309";"2408";"1578";"731";"592";"31963";"8213";"23750";"108980";"102165";"19324";"17483";"17370";"14479";"10951";"9138";"7580";"5840";"6815";"3530";"1890";"745";"651";"4527";"106";"4420";"77482";"71779";"11336";"13996";"13778";"11422";"7727";"5335";"4559";"3627";"5704";"2833";"1739";"789";"342"
"Mato Grosso";"Homens";"Preta";"2959";"789";"2170";"62352";"49514";"3360";"4478";"5884";"6987";"7745";"7607";"6992";"6462";"12837";"4438";"3513";"2267";"2620";"7943";"2635";"5308";"24135";"23063";"5236";"4265";"3761";"3329";"2463";"1778";"1398";"833";"1072";"493";"312";"116";"151";"9944";"2431";"7514";"38486";"37321";"7624";"7330";"6925";"6082";"3947";"2601";"1775";"1036";"1165";"579";"232";"246";"107";"1044";"46";"998";"15070";"14538";"2357";"3105";"2827";"2112";"1672";"1247";"776";"443";"532";"353";"100";"32";"47"
"Mato Grosso";"Homens";"Amarela";"82";"8";"74";"924";"588";"35";"73";"37";"115";"90";"118";"39";"81";"335";"86";"88";"46";"115";"104";"19";"85";"557";"486";"98";"35";"36";"59";"15";"81";"80";"82";"71";"32";"9";"-";"30";"193";"71";"122";"1038";"881";"165";"133";"150";"105";"76";"107";"53";"92";"158";"37";"97";"20";"5";"56";"-";"56";"1754";"1548";"212";"165";"295";"269";"129";"194";"220";"65";"205";"90";"74";"30";"11"
"Mato Grosso";"Homens";"Parda";"15162";"3756";"11405";"253738";"202572";"14801";"19369";"23776";"29418";"30474";"31668";"28664";"24401";"51166";"19386";"13302";"9124";"9355";"40875";"14097";"26777";"111511";"106154";"23808";"18112";"17786";"15439";"11616";"8730";"6293";"4369";"5357";"2600";"1411";"759";"587";"55978";"13607";"42372";"177127";"170929";"37448";"33598";"30797";"25268";"16980";"12591";"8925";"5322";"6198";"3079";"1695";"913";"512";"4825";"328";"4496";"67493";"64104";"10664";"12602";"12172";"10096";"7018";"5186";"3474";"2892";"3389";"1939";"977";"291";"182"
"Mato Grosso";"Homens";"Indígena";"733";"257";"476";"4179";"3187";"348";"342";"517";"412";"485";"457";"306";"319";"992";"236";"211";"225";"321";"1453";"598";"855";"1902";"1851";"614";"387";"304";"229";"128";"85";"41";"63";"51";"33";"8";"1";"10";"1870";"399";"1471";"3804";"3728";"1135";"889";"617";"420";"270";"216";"133";"49";"76";"26";"6";"30";"14";"43";"1";"42";"948";"915";"92";"202";"144";"142";"148";"63";"74";"48";"33";"30";"-";"3";"-"
"Mato Grosso";"Mulheres";"Branca";"3523";"1027";"2496";"108615";"69367";"2880";"4035";"6065";"7851";"9611";"11933";"13321";"13670";"39248";"12318";"10129";"7157";"9645";"11379";"4972";"6408";"43979";"38740";"5642";"4693";"5554";"5271";"5131";"4968";"4106";"3375";"5239";"1967";"1244";"1085";"943";"35509";"9730";"25780";"112617";"105148";"19719";"17938";"16295";"15575";"11865";"10187";"7591";"5978";"7469";"3402";"2226";"993";"849";"7113";"291";"6822";"118315";"111414";"17161";"20441";"20720";"17179";"12713";"9821";"7722";"5656";"6901";"3632";"1958";"846";"466"
"Mato Grosso";"Mulheres";"Preta";"1773";"438";"1334";"41282";"30039";"1865";"1972";"3221";"4188";"4102";"4675";"5531";"4483";"11243";"3878";"2942";"2210";"2214";"5115";"1847";"3268";"16776";"15631";"3172";"2729";"2441";"1947";"1838";"1642";"1162";"701";"1145";"605";"270";"153";"117";"10355";"2479";"7876";"35019";"33749";"7055";"6151";"6074";"5183";"3936";"2619";"1699";"1032";"1270";"613";"301";"218";"138";"1265";"61";"1204";"22967";"21742";"3233";"4175";"3736";"3654";"2786";"1895";"1338";"924";"1225";"737";"325";"113";"49"
"Mato Grosso";"Mulheres";"Amarela";"68";"-";"68";"899";"532";"23";"52";"45";"18";"61";"115";"133";"86";"367";"84";"106";"69";"108";"38";"9";"28";"536";"469";"48";"21";"85";"35";"108";"56";"93";"22";"67";"43";"10";"8";"6";"277";"133";"144";"1272";"1072";"196";"132";"175";"147";"175";"99";"34";"113";"200";"62";"74";"22";"42";"168";"-";"168";"1776";"1601";"127";"244";"350";"221";"195";"193";"144";"126";"175";"54";"101";"20";"-"
"Mato Grosso";"Mulheres";"Parda";"10469";"2865";"7603";"208605";"158600";"10091";"13196";"16409";"20954";"23702";"26130";"25660";"22457";"50005";"18171";"13123";"8574";"10137";"31871";"11590";"20281";"95089";"89573";"18844";"14843";"14386";"12828";"10046";"7698";"6610";"4317";"5517";"2575";"1520";"876";"545";"64854";"16151";"48702";"200498";"193258";"41278";"37433";"33819";"28647";"20997";"14976";"10121";"5989";"7240";"3820";"1720";"994";"705";"8698";"608";"8090";"115928";"110355";"17970";"20077";"20310";"18612";"12881";"9761";"6483";"4262";"5572";"3019";"1502";"658";"393"
"Mato Grosso";"Mulheres";"Indígena";"1087";"364";"724";"5756";"4682";"717";"748";"746";"716";"621";"418";"400";"316";"1073";"321";"194";"152";"406";"1337";"483";"854";"1446";"1413";"448";"273";"262";"214";"70";"67";"63";"16";"33";"11";"3";"-";"19";"1463";"329";"1135";"2566";"2512";"838";"581";"393";"296";"195";"83";"88";"38";"54";"30";"11";"10";"3";"50";"3";"47";"652";"591";"98";"92";"147";"79";"48";"40";"48";"38";"61";"24";"4";"30";"4"
"Goiás";"Homens";"Branca";"11742";"3220";"8523";"256868";"176777";"9796";"11492";"15488";"22282";"26987";"31470";"30868";"28394";"80091";"24718";"20667";"15479";"19228";"25981";"10798";"15183";"108110";"94695";"14545";"13110";"12620";"13000";"11220";"11184";"9971";"9045";"13415";"5743";"3637";"2058";"1978";"74097";"19575";"54521";"250159";"229321";"39638";"37321";"36035";"34633";"26331";"22350";"18366";"14647";"20839";"9432";"6201";"3116";"2090";"9294";"431";"8862";"166548";"149072";"24457";"26540";"26837";"23791";"15667";"12454";"11068";"8258";"17476";"6613";"5144";"3218";"2501"
"Goiás";"Homens";"Preta";"6443";"1717";"4727";"110919";"87624";"6053";"7197";"10115";"13424";"14236";"13734";"12514";"10351";"23295";"8539";"6093";"4080";"4583";"13087";"4949";"8138";"39308";"37238";"7395";"6499";"6423";"5648";"4416";"2796";"2383";"1678";"2070";"921";"565";"305";"280";"22038";"4497";"17542";"70908";"68545";"14711";"12852";"12280";"11053";"7079";"4654";"3444";"2472";"2363";"1265";"656";"273";"169";"1973";"87";"1886";"24963";"24076";"4508";"4594";"4732";"3792";"2670";"1835";"1067";"879";"887";"467";"195";"90";"135"
"Goiás";"Homens";"Amarela";"70";"3";"67";"1424";"934";"105";"91";"14";"166";"156";"194";"76";"133";"490";"77";"68";"172";"173";"185";"114";"71";"866";"716";"104";"114";"92";"101";"89";"88";"57";"70";"150";"60";"19";"49";"23";"767";"118";"649";"1622";"1360";"291";"180";"240";"201";"161";"114";"100";"73";"262";"79";"126";"28";"28";"50";"20";"30";"1674";"1433";"158";"130";"387";"180";"196";"88";"152";"142";"241";"148";"32";"45";"15"
"Goiás";"Homens";"Parda";"27990";"7667";"20324";"461131";"357976";"24807";"31245";"38598";"50978";"56361";"58266";"52967";"44755";"103155";"37034";"28442";"18610";"19070";"62206";"24316";"37890";"196146";"183850";"35010";"31161";"30021";"26755";"20967";"16623";"13578";"9736";"12296";"5852";"3382";"1762";"1300";"116346";"27537";"88809";"372591";"357542";"75384";"68023";"64397";"53393";"37249";"27629";"18609";"12859";"15049";"8054";"4243";"1520";"1232";"11090";"565";"10525";"134751";"127664";"23087";"26418";"23748";"20953";"13013";"8934";"6676";"4834";"7087";"3289";"2015";"1048";"735"
"Goiás";"Homens";"Indígena";"157";"41";"116";"1640";"1282";"62";"104";"133";"173";"249";"158";"270";"133";"358";"127";"132";"15";"84";"105";"44";"61";"473";"451";"61";"75";"89";"39";"88";"51";"42";"6";"21";"13";"9";"-";"-";"387";"130";"256";"686";"656";"150";"105";"128";"84";"92";"33";"25";"38";"31";"6";"10";"6";"8";"22";"-";"22";"433";"404";"42";"45";"51";"56";"66";"36";"51";"56";"29";"4";"8";"2";"15"
"Goiás";"Mulheres";"Branca";"7373";"2122";"5252";"254005";"153917";"6175";"7527";"11072";"18035";"23024";"27793";"30577";"29715";"100088";"28128";"25202";"19761";"26996";"20856";"8940";"11917";"108759";"91010";"9860";"10549";"10791";"13807";"12230";"12269";"11811";"9694";"17749";"6946";"4366";"2777";"3661";"83514";"22750";"60764";"280738";"254010";"42499";"39109";"39255";"37961";"30432";"25992";"21973";"16789";"26728";"11604";"7519";"3845";"3760";"15789";"712";"15076";"248692";"226635";"35692";"39454";"39168";"36308";"25344";"20303";"17034";"13333";"22057";"8966";"6630";"3454";"3007"
"Goiás";"Mulheres";"Preta";"3180";"932";"2248";"83489";"60457";"2841";"3880";"5809";"8294";"9644";"10111";"10599";"9279";"23032";"7615";"6007";"4133";"5277";"7920";"3185";"4735";"31661";"29516";"4553";"4659";"5080";"4591";"3395";"3109";"2382";"1747";"2146";"1114";"601";"290";"140";"21795";"5144";"16651";"67862";"65416";"13451";"12563";"12060";"9379";"7115";"5161";"3393";"2295";"2446";"1416";"592";"218";"219";"2408";"38";"2370";"31426";"30073";"5663";"5444";"5340";"4858";"3151";"2689";"1848";"1080";"1353";"704";"425";"164";"60"
"Goiás";"Mulheres";"Amarela";"86";"2";"84";"1455";"1020";"110";"118";"54";"142";"194";"174";"93";"136";"435";"72";"93";"184";"86";"247";"76";"171";"784";"746";"80";"127";"138";"122";"76";"96";"104";"5";"37";"6";"6";"21";"4";"743";"154";"589";"2308";"2114";"429";"397";"220";"364";"239";"181";"111";"172";"194";"85";"65";"17";"27";"128";"-";"128";"2108";"1927";"240";"253";"522";"318";"266";"162";"88";"78";"182";"76";"44";"61";"-"
"Goiás";"Mulheres";"Parda";"17262";"4385";"12877";"423601";"310101";"15540";"21570";"30782";"42510";"47620";"52601";"51966";"47513";"113500";"39950";"30582";"19476";"23493";"46241";"18802";"27440";"188578";"174856";"28696";"27062";"27305";"25886";"22412";"18344";"14358";"10794";"13723";"6307";"3828";"1909";"1678";"131485";"33159";"98326";"421846";"404168";"82862";"75501";"70928";"59829";"44320";"32341";"22555";"15831";"17678";"9759";"4420";"2118";"1380";"17158";"790";"16368";"210067";"199337";"34833";"37944";"35244";"31070";"22596";"16807";"12105";"8737";"10730";"5493";"3057";"1346";"834"
"Goiás";"Mulheres";"Indígena";"80";"16";"64";"1522";"1092";"62";"55";"137";"209";"107";"144";"207";"172";"430";"121";"109";"106";"93";"161";"50";"112";"690";"544";"50";"30";"106";"74";"111";"71";"54";"48";"146";"95";"38";"-";"13";"378";"101";"277";"1068";"993";"267";"164";"146";"158";"125";"77";"48";"8";"75";"30";"41";"-";"4";"30";"-";"30";"538";"463";"143";"82";"64";"78";"23";"17";"20";"36";"76";"12";"34";"29";"-"
"Distrito Federal";"Homens";"Branca";"3638";"1026";"2613";"46864";"32991";"2662";"2646";"3202";"4504";"5020";"5180";"5098";"4678";"13873";"4131";"3844";"2893";"3006";"8761";"4891";"3869";"26657";"22264";"2949";"2576";"2917";"3341";"3293";"2951";"2346";"1890";"4392";"1447";"1111";"912";"923";"33866";"9208";"24659";"93825";"82400";"16306";"11415";"11618";"11351";"9427";"8974";"7530";"5780";"11425";"4979";"2549";"1911";"1985";"6535";"240";"6295";"159431";"139317";"16091";"20475";"23352";"24587";"17416";"15393";"12933";"9069";"20114";"7099";"5313";"3730";"3972"
"Distrito Federal";"Homens";"Preta";"2650";"681";"1968";"28633";"23209";"1618";"2522";"2792";"3623";"3293";"3735";"2999";"2627";"5425";"1841";"1270";"921";"1393";"5374";"2122";"3251";"15656";"14476";"3131";"2468";"2122";"1903";"1419";"1563";"1109";"761";"1180";"505";"404";"142";"129";"10761";"2201";"8560";"37993";"35992";"7386";"5459";"5827";"5956";"4230";"3304";"2566";"1265";"2001";"847";"565";"252";"337";"1435";"42";"1393";"27039";"25821";"4192";"4905";"4566";"3841";"3420";"2301";"1509";"1087";"1217";"719";"172";"99";"227"
"Distrito Federal";"Homens";"Amarela";"21";"-";"21";"412";"272";"-";"40";"21";"38";"54";"42";"78";"-";"140";"-";"85";"20";"35";"85";"25";"59";"268";"178";"24";"-";"48";"-";"-";"19";"42";"44";"90";"21";"-";"30";"39";"223";"30";"193";"965";"780";"163";"105";"20";"136";"71";"147";"88";"51";"185";"42";"42";"63";"38";"64";"-";"64";"2480";"1854";"180";"222";"351";"325";"214";"175";"208";"179";"625";"145";"205";"108";"168"
"Distrito Federal";"Homens";"Parda";"9325";"2048";"7276";"93944";"74345";"6253";"6907";"8414";"10742";"11118";"12231";"10540";"8139";"19599";"6937";"5071";"3598";"3992";"19550";"8348";"11202";"55185";"49781";"9245";"7535";"6574";"7377";"5865";"5926";"4325";"2934";"5403";"2347";"1618";"660";"779";"49847";"13092";"36755";"149985";"139754";"25709";"22522";"21278";"22850";"19032";"11904";"9563";"6896";"10231";"4731";"3019";"1386";"1096";"6332";"261";"6070";"109325";"101621";"13576";"16539";"18045";"17772";"12975";"10194";"7070";"5451";"7704";"3418";"2345";"993";"948"
"Distrito Federal";"Homens";"Indígena";"-";"-";"-";"467";"365";"-";"65";"88";"22";"64";"40";"67";"21";"102";"63";"21";"19";"-";"82";"21";"61";"196";"171";"39";"69";"21";"24";"-";"-";"14";"4";"25";"-";"-";"-";"25";"90";"24";"66";"614";"553";"104";"124";"43";"81";"81";"21";"53";"45";"61";"40";"-";"21";"-";"-";"-";"-";"363";"324";"-";"18";"95";"21";"31";"52";"108";"-";"39";"39";"-";"-";"-"
"Distrito Federal";"Mulheres";"Branca";"2069";"739";"1330";"58934";"33444";"1635";"1979";"2668";"4349";"5228";"6016";"5656";"5912";"25490";"6026";"6062";"4384";"9018";"6934";"3659";"3275";"34763";"26179";"2665";"2342";"3047";"4247";"3520";"3814";"3439";"3103";"8584";"2385";"2143";"1739";"2317";"40965";"11789";"29175";"117105";"98572";"14912";"13039";"13738";"14952";"12441";"11951";"9278";"8261";"18533";"6387";"5112";"3221";"3814";"8895";"389";"8506";"208441";"185123";"22584";"27409";"31304";"32268";"23745";"19323";"15945";"12545";"23318";"8819";"6369";"4238";"3892"
"Distrito Federal";"Mulheres";"Preta";"1346";"386";"960";"26154";"18797";"1138";"1063";"1872";"2790";"2842";"3321";"2987";"2784";"7357";"2209";"2070";"1397";"1681";"3322";"1512";"1809";"13073";"11496";"1439";"1235";"1856";"1698";"1737";"1333";"1306";"892";"1578";"632";"412";"264";"271";"9734";"2085";"7649";"36811";"34412";"6322";"5344";"5768";"5194";"3885";"3668";"2336";"1896";"2399";"1205";"736";"284";"173";"1949";"47";"1903";"28712";"27117";"4484";"4591";"4854";"4721";"3140";"2334";"1777";"1215";"1595";"686";"431";"261";"218"
"Distrito Federal";"Mulheres";"Amarela";"21";"-";"21";"468";"237";"-";"-";"21";"60";"44";"21";"50";"41";"232";"66";"56";"21";"88";"153";"49";"104";"347";"173";"23";"-";"40";"-";"67";"21";"-";"22";"174";"-";"45";"85";"44";"278";"31";"247";"1321";"1032";"308";"136";"104";"98";"127";"65";"102";"93";"288";"81";"61";"-";"147";"60";"-";"60";"3118";"2796";"216";"352";"584";"664";"243";"242";"282";"213";"322";"147";"107";"46";"21"
"Distrito Federal";"Mulheres";"Parda";"4736";"1116";"3619";"97923";"68289";"3988";"4056";"5545";"8963";"10588";"12034";"12245";"10870";"29635";"9438";"8023";"5525";"6649";"14087";"6238";"7850";"53092";"46083";"5873";"5615";"6120";"6992";"6292";"6058";"5036";"4096";"7010";"2715";"1941";"1317";"1037";"51924";"14240";"37684";"170661";"158127";"27033";"24048";"25062";"25153";"21412";"14715";"12538";"8165";"12533";"6121";"3299";"1608";"1505";"8876";"515";"8361";"142874";"133537";"19517";"21302";"24483";"24192";"16567";"12162";"8954";"6360";"9336";"4238";"2901";"1264";"933"
"Distrito Federal";"Mulheres";"Indígena";"47";"-";"47";"877";"635";"-";"82";"41";"188";"-";"98";"120";"105";"242";"130";"52";"-";"60";"11";"11";"-";"257";"198";"-";"22";"18";"-";"95";"-";"22";"41";"58";"17";"41";"-";"-";"146";"44";"101";"666";"623";"85";"155";"147";"21";"85";"63";"38";"31";"42";"-";"21";"21";"-";"23";"-";"23";"655";"613";"49";"78";"156";"147";"80";"65";"18";"20";"42";"21";"21";"-";"-"
"Fonte: IBGE - Censo Demográfico"

"Tabela 10061 - Pessoas de 18 anos ou mais de idade, por nível de instrução, segundo os grupos de idade, o sexo e a cor ou raça"
"Variável - Pessoas de 18 anos ou mais de idade - percentual do total geral"
"Brasil, Grande Região e Unidade da Federação";"Sexo";"Cor ou raça";"Ano x Nível de instrução x Grupo de idade"
"Brasil, Grande Região e Unidade da Federação";"Sexo";"Cor ou raça";"2022"
"Brasil, Grande Região e Unidade da Federação";"Sexo";"Cor ou raça";"Sem instrução e fundamental incompleto";;;;;;;;;;;;;;;;;;"Fundamental completo e médio incompleto";;;;;;;;;;;;;;;;;;"Médio completo e superior incompleto";;;;;;;;;;;;;;;;;;"Superior completo"
"Brasil, Grande Região e Unidade da Federação";"Sexo";"Cor ou raça";"18 a 24 anos";"18 a 19 anos";"20 a 24 anos";"25 anos ou mais";"25 a 64 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 anos ou mais";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos ou mais";"18 a 24 anos";"18 a 19 anos";"20 a 24 anos";"25 anos ou mais";"25 a 64 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 anos ou mais";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos ou mais";"18 a 24 anos";"18 a 19 anos";"20 a 24 anos";"25 anos ou mais";"25 a 64 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 anos ou mais";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos ou mais";"18 a 24 anos";"18 a 19 anos";"20 a 24 anos";"25 anos ou mais";"25 a 64 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 anos ou mais";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos ou mais"
"Brasil";"Homens";"Branca";"0,26";"0,07";"0,19";"5,37";"3,61";"0,23";"0,26";"0,32";"0,44";"0,51";"0,61";"0,63";"0,60";"1,77";"0,54";"0,47";"0,34";"0,41";"0,59";"0,25";"0,34";"2,38";"2,03";"0,30";"0,28";"0,28";"0,27";"0,23";"0,24";"0,24";"0,20";"0,35";"0,15";"0,10";"0,05";"0,05";"1,60";"0,39";"1,20";"5,84";"5,28";"0,92";"0,84";"0,84";"0,78";"0,59";"0,51";"0,44";"0,36";"0,56";"0,25";"0,15";"0,08";"0,07";"0,19";"0,01";"0,18";"4,11";"3,58";"0,49";"0,59";"0,61";"0,58";"0,41";"0,34";"0,30";"0,26";"0,53";"0,21";"0,15";"0,09";"0,08"
"Brasil";"Homens";"Preta";"0,14";"0,04";"0,10";"2,06";"1,58";"0,12";"0,14";"0,17";"0,23";"0,24";"0,25";"0,23";"0,21";"0,48";"0,17";"0,13";"0,08";"0,10";"0,25";"0,09";"0,15";"0,76";"0,71";"0,13";"0,12";"0,11";"0,10";"0,08";"0,07";"0,05";"0,04";"0,06";"0,03";"0,02";"0,01";"0,01";"0,39";"0,08";"0,31";"1,54";"1,47";"0,29";"0,26";"0,26";"0,23";"0,16";"0,12";"0,09";"0,06";"0,07";"0,04";"0,02";"0,01";"0,01";"0,03";"0,00";"0,02";"0,46";"0,43";"0,07";"0,08";"0,08";"0,07";"0,05";"0,04";"0,03";"0,02";"0,03";"0,01";"0,01";"0,00";"0,00"
"Brasil";"Homens";"Amarela";"0,00";"0,00";"0,00";"0,03";"0,02";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,02";"0,00";"0,00";"0,00";"0,01";"0,00";"0,00";"0,00";"0,02";"0,01";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,01";"0,00";"0,00";"0,00";"0,00";"0,01";"0,00";"0,01";"0,06";"0,05";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,02";"0,01";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,09";"0,07";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,02";"0,01";"0,01";"0,00";"0,00"
"Brasil";"Homens";"Parda";"0,55";"0,15";"0,40";"7,65";"5,90";"0,47";"0,55";"0,67";"0,84";"0,88";"0,90";"0,85";"0,75";"1,75";"0,62";"0,47";"0,31";"0,34";"0,99";"0,39";"0,60";"2,85";"2,63";"0,51";"0,44";"0,42";"0,36";"0,28";"0,24";"0,21";"0,16";"0,22";"0,10";"0,06";"0,03";"0,02";"1,74";"0,40";"1,34";"5,62";"5,35";"1,10";"0,98";"0,94";"0,82";"0,57";"0,42";"0,31";"0,22";"0,27";"0,14";"0,07";"0,03";"0,02";"0,12";"0,01";"0,11";"1,78";"1,67";"0,26";"0,30";"0,31";"0,27";"0,19";"0,14";"0,11";"0,08";"0,11";"0,05";"0,03";"0,02";"0,01"
"Brasil";"Homens";"Indígena";"0,02";"0,00";"0,01";"0,10";"0,08";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,02";"0,01";"0,00";"0,00";"0,00";"0,02";"0,01";"0,01";"0,03";"0,03";"0,01";"0,01";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,02";"0,00";"0,02";"0,05";"0,05";"0,01";"0,01";"0,01";"0,01";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,01";"0,01";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"Brasil";"Mulheres";"Branca";"0,17";"0,04";"0,12";"5,90";"3,39";"0,14";"0,18";"0,25";"0,38";"0,48";"0,60";"0,67";"0,69";"2,51";"0,67";"0,62";"0,49";"0,74";"0,47";"0,20";"0,26";"2,49";"1,99";"0,24";"0,23";"0,25";"0,26";"0,25";"0,26";"0,27";"0,23";"0,50";"0,18";"0,13";"0,08";"0,11";"1,76";"0,46";"1,31";"6,61";"5,84";"0,94";"0,89";"0,91";"0,87";"0,69";"0,60";"0,52";"0,43";"0,77";"0,31";"0,20";"0,12";"0,14";"0,31";"0,01";"0,30";"5,84";"5,17";"0,73";"0,83";"0,87";"0,83";"0,60";"0,50";"0,45";"0,37";"0,66";"0,27";"0,19";"0,11";"0,09"
"Brasil";"Mulheres";"Preta";"0,08";"0,02";"0,06";"1,81";"1,23";"0,07";"0,08";"0,11";"0,16";"0,18";"0,20";"0,21";"0,21";"0,58";"0,18";"0,15";"0,11";"0,14";"0,18";"0,07";"0,11";"0,69";"0,61";"0,10";"0,09";"0,09";"0,09";"0,07";"0,06";"0,06";"0,05";"0,07";"0,03";"0,02";"0,01";"0,01";"0,42";"0,09";"0,33";"1,58";"1,49";"0,28";"0,26";"0,26";"0,23";"0,17";"0,12";"0,09";"0,07";"0,09";"0,04";"0,02";"0,01";"0,01";"0,04";"0,00";"0,04";"0,67";"0,63";"0,10";"0,11";"0,11";"0,10";"0,08";"0,06";"0,04";"0,03";"0,04";"0,02";"0,01";"0,00";"0,00"
