"Tabela 9537 - Pessoas de 10 anos ou mais de idade, por religião, segundo o sexo e os grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Brasil, Grande Região e Unidade da Federação";"Grupo de idade";"Ano x Religião x Sexo"
"Brasil, Grande Região e Unidade da Federação";"Grupo de idade";"2022"
"Brasil, Grande Região e Unidade da Federação";"Grupo de idade";"Católica Apostólica Romana";;"Evangélicas";;"Espírita";;"Umbanda e Candomblé";;"Tradições indígenas";;"Outras religiosidades";;"Sem religião";;"Não sabe";;"Sem declaração"
"Brasil, Grande Região e Unidade da Federação";"Grupo de idade";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres"
"Centro-Oeste";"80 anos ou mais";"77990";"104132";"26502";"41277";"3184";"4569";"160";"308";"124";"148";"3012";"4871";"6787";"3739";"56";"52";"106";"131"
"Rondônia";"15 a 19 anos";"22390";"22194";"24899";"24823";"191";"220";"228";"223";"50";"54";"2666";"2640";"10585";"9455";"91";"15";"247";"194"
"Rondônia";"20 a 24 anos";"22414";"23023";"22540";"24445";"241";"375";"227";"235";"94";"69";"2791";"2735";"13417";"11149";"94";"26";"205";"224"
"Rondônia";"25 a 29 anos";"23276";"23678";"22944";"27079";"213";"332";"199";"195";"26";"66";"2379";"2832";"13064";"9684";"106";"7";"136";"127"
"Rondônia";"30 a 39 anos";"48436";"49690";"47518";"57002";"609";"1010";"344";"403";"88";"43";"5031";"5686";"21513";"15501";"186";"62";"239";"231"
"Rondônia";"40 a 49 anos";"46650";"47521";"44018";"52680";"610";"893";"312";"446";"96";"48";"4528";"4418";"16189";"11210";"99";"23";"279";"276"
"Rondônia";"50 a 59 anos";"42457";"40145";"33365";"40609";"580";"642";"233";"154";"46";"22";"3274";"3680";"9872";"5358";"35";"20";"286";"104"
"Rondônia";"60 a 69 anos";"30464";"27296";"21133";"26145";"460";"416";"75";"162";"15";"8";"1730";"1921";"5274";"2594";"28";"18";"102";"66"
"Rondônia";"70 a 79 anos";"14341";"13738";"10210";"12576";"107";"146";"102";"21";"4";"2";"749";"786";"1964";"775";"18";"-";"21";"72"
"Rondônia";"80 anos ou mais";"5851";"6269";"4189";"4485";"22";"26";"3";"-";"11";"44";"307";"306";"730";"337";"6";"-";"7";"32"
"Acre";"15 a 19 anos";"14894";"13785";"17179";"17442";"171";"122";"100";"185";"308";"258";"1630";"1426";"6131";"5109";"-";"4";"98";"70"
"Acre";"20 a 24 anos";"14047";"12259";"15926";"17862";"177";"172";"129";"96";"270";"230";"1657";"1731";"6835";"5514";"-";"20";"74";"81"
"Acre";"25 a 29 anos";"11850";"12173";"14477";"15810";"191";"125";"89";"106";"193";"146";"1514";"1572";"5668";"4878";"10";"19";"84";"8"
"Acre";"30 a 39 anos";"23008";"22168";"26509";"31218";"299";"418";"130";"198";"251";"226";"2650";"3241";"8384";"6482";"5";"-";"67";"91"
"Acre";"40 a 49 anos";"22193";"20083";"22169";"27234";"324";"593";"136";"117";"178";"161";"2321";"2545";"6135";"3876";"4";"6";"61";"39"
"Acre";"50 a 59 anos";"16719";"15095";"13965";"17434";"194";"277";"26";"95";"90";"64";"1301";"1510";"3185";"1852";"1";"10";"24";"10"
"Acre";"60 a 69 anos";"11976";"10782";"7608";"10290";"155";"206";"97";"30";"38";"20";"629";"735";"1729";"863";"-";"-";"21";"8"
"Acre";"70 a 79 anos";"6188";"6006";"3794";"4848";"58";"54";"10";"4";"20";"27";"247";"435";"735";"328";"5";"-";"13";"8"
"Acre";"80 anos ou mais";"2689";"3003";"1552";"2001";"12";"37";"-";"-";"28";"32";"110";"190";"309";"206";"-";"-";"6";"6"
"Amazonas";"15 a 19 anos";"83529";"76261";"75620";"78883";"468";"367";"484";"513";"997";"904";"7644";"8347";"17409";"15088";"255";"121";"325";"343"
"Amazonas";"20 a 24 anos";"81178";"78231";"69053";"74152";"336";"463";"676";"636";"723";"683";"8055";"8992";"21224";"17083";"166";"177";"390";"323"
"Amazonas";"25 a 29 anos";"74435";"71774";"62697";"69383";"414";"605";"649";"864";"507";"549";"8212";"8479";"17964";"14943";"264";"98";"395";"209"
"Amazonas";"30 a 39 anos";"136679";"137426";"109376";"126743";"973";"986";"1365";"1250";"951";"779";"14409";"14549";"28395";"20600";"341";"244";"456";"312"
"Amazonas";"40 a 49 anos";"127375";"121562";"91377";"106367";"1278";"1393";"729";"702";"601";"588";"11172";"12740";"19127";"13137";"198";"159";"387";"330"
"Amazonas";"50 a 59 anos";"91867";"85265";"58396";"69580";"770";"1428";"633";"528";"399";"374";"7026";"7740";"9931";"5631";"222";"52";"255";"220"
"Amazonas";"60 a 69 anos";"61695";"60709";"33767";"41406";"347";"916";"229";"160";"227";"215";"3390";"4726";"5541";"2282";"32";"17";"132";"101"
"Amazonas";"70 a 79 anos";"28448";"30451";"13264";"18399";"352";"376";"110";"7";"156";"154";"1692";"1899";"2008";"873";"49";"16";"43";"38"
"Amazonas";"80 anos ou mais";"10807";"15067";"5291";"7782";"104";"21";"53";"59";"81";"78";"653";"996";"774";"574";"21";"7";"14";"33"
"Roraima";"15 a 19 anos";"10328";"9481";"10174";"10393";"87";"57";"55";"82";"849";"813";"2174";"2140";"5379";"5280";"10";"24";"104";"152"
"Roraima";"20 a 24 anos";"9589";"9297";"9017";"9790";"174";"179";"142";"70";"553";"566";"2347";"2338";"6899";"6456";"77";"44";"221";"142"
"Roraima";"25 a 29 anos";"9412";"9420";"8288";"9401";"118";"109";"163";"95";"403";"398";"2580";"2536";"6668";"6111";"51";"16";"138";"68"
"Roraima";"30 a 39 anos";"18462";"18199";"15122";"17809";"197";"311";"231";"123";"643";"578";"4360";"4437";"9389";"8237";"77";"44";"150";"98"
"Roraima";"40 a 49 anos";"15905";"15611";"11919";"15100";"354";"436";"111";"155";"454";"415";"2695";"3003";"6518";"5102";"33";"24";"172";"81"
"Roraima";"50 a 59 anos";"12227";"10691";"8076";"10118";"231";"341";"105";"57";"261";"247";"1674";"1886";"3543";"2223";"35";"22";"49";"55"
