"Tabela 9537 - Pessoas de 10 anos ou mais de idade, por religião, segundo o sexo e os grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Brasil, Grande Região e Unidade da Federação";"Grupo de idade";"Ano x Religião x Sexo"
"Brasil, Grande Região e Unidade da Federação";"Grupo de idade";"2022"
"Brasil, Grande Região e Unidade da Federação";"Grupo de idade";"Católica Apostólica Romana";;"Evangélicas";;"Espírita";;"Umbanda e Candomblé";;"Tradições indígenas";;"Outras religiosidades";;"Sem religião";;"Não sabe";;"Sem declaração"
"Brasil, Grande Região e Unidade da Federação";"Grupo de idade";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres"
"Distrito Federal";"50 a 59 anos";"82938";"92963";"39701";"56016";"5731";"8739";"879";"1175";"62";"20";"6557";"8741";"15544";"11486";"768";"132";"240";"181"
"Distrito Federal";"60 a 69 anos";"55160";"67889";"18301";"32540";"3977";"5333";"676";"770";"-";"10";"3659";"5129";"8214";"6124";"239";"112";"70";"123"
"Distrito Federal";"70 a 79 anos";"29282";"40840";"7967";"16108";"1867";"3292";"318";"303";"-";"21";"1889";"2749";"3990";"2182";"55";"20";"50";"62"
"Distrito Federal";"80 anos ou mais";"12516";"20918";"3208";"7352";"1215";"1321";"-";"78";"19";"21";"697";"1246";"1418";"924";"19";"9";"-";"-"
"Fonte: IBGE - Censo Demográfico"

"Tabela 9537 - Pessoas de 10 anos ou mais de idade, por religião, segundo o sexo e os grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade - percentual do total geral (%)"
"Brasil, Grande Região e Unidade da Federação";"Grupo de idade";"Ano x Religião x Sexo"
"Brasil, Grande Região e Unidade da Federação";"Grupo de idade";"2022"
"Brasil, Grande Região e Unidade da Federação";"Grupo de idade";"Católica Apostólica Romana";;"Evangélicas";;"Espírita";;"Umbanda e Candomblé";;"Tradições indígenas";;"Outras religiosidades";;"Sem religião";;"Não sabe";;"Sem declaração"
"Brasil, Grande Região e Unidade da Federação";"Grupo de idade";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres";"Homens";"Mulheres"
"Brasil";"15 a 19 anos";"2,19";"2,05";"1,15";"1,20";"0,04";"0,05";"0,04";"0,05";"0,00";"0,00";"0,16";"0,16";"0,54";"0,48";"0,00";"0,00";"0,01";"0,01"
"Brasil";"20 a 24 anos";"2,28";"2,20";"1,14";"1,27";"0,04";"0,06";"0,05";"0,07";"0,00";"0,00";"0,18";"0,18";"0,68";"0,57";"0,01";"0,00";"0,01";"0,01"
"Brasil";"25 a 29 anos";"2,23";"2,25";"1,12";"1,32";"0,05";"0,07";"0,06";"0,07";"0,00";"0,00";"0,18";"0,20";"0,66";"0,53";"0,01";"0,00";"0,01";"0,01"
"Brasil";"30 a 39 anos";"4,72";"4,84";"2,26";"2,77";"0,12";"0,18";"0,10";"0,13";"0,01";"0,00";"0,37";"0,41";"1,09";"0,84";"0,01";"0,00";"0,01";"0,01"
"Brasil";"40 a 49 anos";"4,67";"4,76";"2,06";"2,61";"0,14";"0,23";"0,08";"0,11";"0,00";"0,00";"0,32";"0,38";"0,81";"0,60";"0,01";"0,00";"0,01";"0,01"
"Brasil";"50 a 59 anos";"4,05";"4,23";"1,49";"2,05";"0,12";"0,21";"0,05";"0,07";"0,00";"0,00";"0,23";"0,30";"0,52";"0,35";"0,00";"0,00";"0,01";"0,01"
"Brasil";"60 a 69 anos";"3,14";"3,43";"0,91";"1,41";"0,10";"0,17";"0,03";"0,04";"0,00";"0,00";"0,15";"0,21";"0,32";"0,20";"0,00";"0,00";"0,00";"0,00"
"Brasil";"70 a 79 anos";"1,72";"2,07";"0,44";"0,72";"0,05";"0,08";"0,01";"0,02";"0,00";"0,00";"0,07";"0,11";"0,14";"0,09";"0,00";"0,00";"0,00";"0,00"
"Brasil";"80 anos ou mais";"0,73";"1,15";"0,17";"0,32";"0,02";"0,04";"0,00";"0,01";"0,00";"0,00";"0,03";"0,05";"0,05";"0,04";"0,00";"0,00";"0,00";"0,00"
"Norte";"15 a 19 anos";"2,59";"2,42";"2,02";"2,09";"0,01";"0,01";"0,01";"0,02";"0,02";"0,02";"0,18";"0,18";"0,58";"0,50";"0,00";"0,00";"0,01";"0,01"
"Norte";"20 a 24 anos";"2,53";"2,41";"1,82";"1,99";"0,01";"0,02";"0,02";"0,02";"0,02";"0,01";"0,19";"0,19";"0,69";"0,58";"0,01";"0,00";"0,01";"0,01"
"Norte";"25 a 29 anos";"2,34";"2,29";"1,68";"1,96";"0,02";"0,02";"0,02";"0,02";"0,01";"0,01";"0,18";"0,20";"0,63";"0,49";"0,01";"0,00";"0,01";"0,01"
"Norte";"30 a 39 anos";"4,62";"4,56";"3,17";"3,82";"0,03";"0,04";"0,04";"0,03";"0,02";"0,02";"0,33";"0,36";"0,98";"0,72";"0,01";"0,00";"0,01";"0,01"
"Norte";"40 a 49 anos";"4,26";"4,04";"2,68";"3,25";"0,04";"0,05";"0,03";"0,03";"0,01";"0,01";"0,26";"0,30";"0,69";"0,44";"0,01";"0,00";"0,01";"0,01"
"Norte";"50 a 59 anos";"3,21";"2,98";"1,78";"2,21";"0,03";"0,04";"0,02";"0,02";"0,01";"0,01";"0,17";"0,19";"0,39";"0,20";"0,00";"0,00";"0,01";"0,00"
"Norte";"60 a 69 anos";"2,23";"2,09";"1,05";"1,37";"0,02";"0,03";"0,01";"0,01";"0,00";"0,00";"0,09";"0,11";"0,21";"0,09";"0,00";"0,00";"0,00";"0,00"
"Norte";"70 a 79 anos";"1,10";"1,10";"0,50";"0,65";"0,01";"0,01";"0,00";"0,00";"0,00";"0,00";"0,04";"0,05";"0,09";"0,04";"0,00";"0,00";"0,00";"0,00"
"Norte";"80 anos ou mais";"0,45";"0,57";"0,21";"0,27";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,02";"0,02";"0,03";"0,02";"0,00";"0,00";"0,00";"0,00"
"Nordeste";"15 a 19 anos";"2,82";"2,65";"0,98";"1,06";"0,02";"0,02";"0,02";"0,03";"0,00";"0,00";"0,14";"0,14";"0,58";"0,52";"0,00";"0,00";"0,01";"0,01"
"Nordeste";"20 a 24 anos";"2,77";"2,69";"0,92";"1,10";"0,02";"0,02";"0,03";"0,03";"0,00";"0,00";"0,15";"0,16";"0,66";"0,57";"0,00";"0,00";"0,01";"0,01"
"Nordeste";"25 a 29 anos";"2,57";"2,66";"0,89";"1,14";"0,02";"0,03";"0,03";"0,04";"0,00";"0,00";"0,15";"0,17";"0,59";"0,49";"0,00";"0,00";"0,01";"0,01"
"Nordeste";"30 a 39 anos";"5,40";"5,67";"1,78";"2,46";"0,05";"0,09";"0,06";"0,06";"0,01";"0,01";"0,29";"0,34";"1,00";"0,78";"0,00";"0,00";"0,01";"0,01"
"Nordeste";"40 a 49 anos";"5,21";"5,34";"1,61";"2,29";"0,06";"0,10";"0,04";"0,06";"0,00";"0,00";"0,25";"0,32";"0,77";"0,55";"0,00";"0,00";"0,01";"0,01"
"Nordeste";"50 a 59 anos";"4,23";"4,45";"1,11";"1,79";"0,05";"0,09";"0,03";"0,04";"0,00";"0,00";"0,17";"0,24";"0,48";"0,30";"0,00";"0,00";"0,01";"0,00"
"Nordeste";"60 a 69 anos";"3,05";"3,33";"0,63";"1,14";"0,04";"0,07";"0,01";"0,02";"0,00";"0,00";"0,10";"0,15";"0,29";"0,15";"0,00";"0,00";"0,00";"0,00"
"Nordeste";"70 a 79 anos";"1,76";"2,08";"0,33";"0,62";"0,02";"0,03";"0,01";"0,01";"0,00";"0,00";"0,05";"0,07";"0,13";"0,07";"0,00";"0,00";"0,00";"0,00"
"Nordeste";"80 anos ou mais";"0,82";"1,22";"0,15";"0,29";"0,01";"0,01";"0,00";"0,00";"0,00";"0,00";"0,02";"0,04";"0,05";"0,03";"0,00";"0,00";"0,00";"0,00"
"Sudeste";"15 a 19 anos";"1,75";"1,64";"1,12";"1,15";"0,06";"0,07";"0,05";"0,06";"0,00";"0,00";"0,19";"0,18";"0,56";"0,49";"0,00";"0,00";"0,01";"0,00"
"Sudeste";"20 a 24 anos";"1,92";"1,82";"1,15";"1,26";"0,07";"0,09";"0,06";"0,09";"0,00";"0,00";"0,20";"0,21";"0,73";"0,61";"0,00";"0,00";"0,01";"0,01"
"Sudeste";"25 a 29 anos";"1,91";"1,90";"1,15";"1,32";"0,07";"0,10";"0,07";"0,09";"0,00";"0,00";"0,21";"0,23";"0,74";"0,59";"0,00";"0,00";"0,01";"0,01"
"Sudeste";"30 a 39 anos";"4,17";"4,27";"2,36";"2,83";"0,18";"0,26";"0,13";"0,17";"0,00";"0,00";"0,44";"0,49";"1,25";"0,97";"0,01";"0,00";"0,01";"0,01"
"Sudeste";"40 a 49 anos";"4,30";"4,45";"2,21";"2,76";"0,21";"0,33";"0,11";"0,15";"0,00";"0,00";"0,40";"0,47";"0,93";"0,71";"0,00";"0,00";"0,01";"0,01"
"Sudeste";"50 a 59 anos";"3,90";"4,14";"1,64";"2,22";"0,19";"0,31";"0,07";"0,10";"0,00";"0,00";"0,30";"0,38";"0,63";"0,44";"0,00";"0,00";"0,01";"0,01"
"Sudeste";"60 a 69 anos";"3,24";"3,62";"1,02";"1,60";"0,15";"0,26";"0,04";"0,06";"0,00";"0,00";"0,20";"0,29";"0,40";"0,27";"0,00";"0,00";"0,01";"0,01"
"Sudeste";"70 a 79 anos";"1,78";"2,22";"0,48";"0,81";"0,07";"0,13";"0,02";"0,02";"0,00";"0,00";"0,10";"0,15";"0,17";"0,12";"0,00";"0,00";"0,00";"0,00"
"Sudeste";"80 anos ou mais";"0,74";"1,26";"0,18";"0,36";"0,03";"0,06";"0,00";"0,01";"0,00";"0,00";"0,04";"0,08";"0,06";"0,05";"0,00";"0,00";"0,00";"0,00"
"Sul";"15 a 19 anos";"2,15";"2,03";"0,95";"0,95";"0,04";"0,05";"0,06";"0,08";"0,00";"0,00";"0,12";"0,12";"0,37";"0,34";"0,00";"0,00";"0,00";"0,00"
"Sul";"20 a 24 anos";"2,38";"2,29";"1,00";"1,06";"0,04";"0,06";"0,08";"0,10";"0,00";"0,00";"0,14";"0,14";"0,54";"0,47";"0,01";"0,00";"0,01";"0,00"
"Sul";"25 a 29 anos";"2,46";"2,45";"1,02";"1,14";"0,04";"0,07";"0,08";"0,10";"0,00";"0,00";"0,15";"0,16";"0,57";"0,45";"0,01";"0,00";"0,01";"0,00"
"Sul";"30 a 39 anos";"5,14";"5,20";"2,05";"2,31";"0,13";"0,20";"0,14";"0,19";"0,00";"0,00";"0,31";"0,33";"0,88";"0,69";"0,01";"0,00";"0,01";"0,01"
"Sul";"40 a 49 anos";"5,02";"5,11";"1,84";"2,13";"0,14";"0,23";"0,12";"0,17";"0,00";"0,00";"0,26";"0,29";"0,59";"0,45";"0,01";"0,00";"0,01";"0,00"
"Sul";"50 a 59 anos";"4,74";"4,99";"1,45";"1,81";"0,12";"0,22";"0,08";"0,11";"0,00";"0,00";"0,19";"0,24";"0,36";"0,27";"0,00";"0,00";"0,00";"0,00"
"Sul";"60 a 69 anos";"3,79";"4,16";"0,97";"1,34";"0,10";"0,17";"0,04";"0,07";"0,00";"0,00";"0,12";"0,17";"0,22";"0,15";"0,00";"0,00";"0,00";"0,00"
"Sul";"70 a 79 anos";"2,03";"2,48";"0,48";"0,70";"0,04";"0,08";"0,02";"0,02";"0,00";"0,00";"0,05";"0,09";"0,09";"0,06";"0,00";"0,00";"0,00";"0,00"
"Sul";"80 anos ou mais";"0,75";"1,24";"0,18";"0,31";"0,01";"0,03";"0,00";"0,01";"0,00";"0,00";"0,02";"0,04";"0,03";"0,03";"0,00";"0,00";"0,00";"0,00"
"Centro-Oeste";"15 a 19 anos";"2,10";"1,95";"1,39";"1,46";"0,05";"0,06";"0,02";"0,03";"0,01";"0,01";"0,18";"0,18";"0,55";"0,48";"0,00";"0,00";"0,01";"0,00"
"Centro-Oeste";"20 a 24 anos";"2,18";"2,12";"1,37";"1,51";"0,06";"0,07";"0,03";"0,04";"0,01";"0,01";"0,21";"0,20";"0,70";"0,57";"0,02";"0,00";"0,01";"0,01"
"Centro-Oeste";"25 a 29 anos";"2,23";"2,28";"1,41";"1,57";"0,06";"0,08";"0,03";"0,04";"0,01";"0,01";"0,21";"0,23";"0,65";"0,49";"0,02";"0,00";"0,01";"0,01"
"Centro-Oeste";"30 a 39 anos";"4,72";"4,76";"2,75";"3,25";"0,15";"0,20";"0,06";"0,07";"0,01";"0,01";"0,42";"0,46";"1,07";"0,80";"0,04";"0,00";"0,01";"0,01"
"Centro-Oeste";"40 a 49 anos";"4,62";"4,62";"2,50";"3,11";"0,16";"0,24";"0,04";"0,05";"0,01";"0,01";"0,35";"0,38";"0,78";"0,57";"0,02";"0,00";"0,01";"0,01"
"Centro-Oeste";"50 a 59 anos";"3,78";"3,79";"1,75";"2,30";"0,13";"0,21";"0,02";"0,03";"0,00";"0,00";"0,23";"0,28";"0,49";"0,32";"0,01";"0,00";"0,01";"0,00"
"Centro-Oeste";"60 a 69 anos";"2,67";"2,76";"0,99";"1,46";"0,10";"0,15";"0,01";"0,02";"0,00";"0,00";"0,13";"0,17";"0,27";"0,16";"0,00";"0,00";"0,00";"0,00"
"Centro-Oeste";"70 a 79 anos";"1,37";"1,51";"0,47";"0,71";"0,05";"0,08";"0,01";"0,01";"0,00";"0,00";"0,06";"0,08";"0,13";"0,06";"0,00";"0,00";"0,00";"0,00"
"Centro-Oeste";"80 anos ou mais";"0,56";"0,74";"0,19";"0,29";"0,02";"0,03";"0,00";"0,00";"0,00";"0,00";"0,02";"0,03";"0,05";"0,03";"0,00";"0,00";"0,00";"0,00"
"Rondônia";"15 a 19 anos";"1,66";"1,64";"1,84";"1,84";"0,01";"0,02";"0,02";"0,02";"0,00";"0,00";"0,20";"0,20";"0,78";"0,70";"0,01";"0,00";"0,02";"0,01"
"Rondônia";"20 a 24 anos";"1,66";"1,71";"1,67";"1,81";"0,02";"0,03";"0,02";"0,02";"0,01";"0,01";"0,21";"0,20";"0,99";"0,83";"0,01";"0,00";"0,02";"0,02"
"Rondônia";"25 a 29 anos";"1,72";"1,75";"1,70";"2,01";"0,02";"0,02";"0,01";"0,01";"0,00";"0,00";"0,18";"0,21";"0,97";"0,72";"0,01";"0,00";"0,01";"0,01"
"Rondônia";"30 a 39 anos";"3,59";"3,68";"3,52";"4,22";"0,05";"0,07";"0,03";"0,03";"0,01";"0,00";"0,37";"0,42";"1,59";"1,15";"0,01";"0,00";"0,02";"0,02"
"Rondônia";"40 a 49 anos";"3,46";"3,52";"3,26";"3,90";"0,05";"0,07";"0,02";"0,03";"0,01";"0,00";"0,34";"0,33";"1,20";"0,83";"0,01";"0,00";"0,02";"0,02"
"Rondônia";"50 a 59 anos";"3,15";"2,97";"2,47";"3,01";"0,04";"0,05";"0,02";"0,01";"0,00";"0,00";"0,24";"0,27";"0,73";"0,40";"0,00";"0,00";"0,02";"0,01"
"Rondônia";"60 a 69 anos";"2,26";"2,02";"1,57";"1,94";"0,03";"0,03";"0,01";"0,01";"0,00";"0,00";"0,13";"0,14";"0,39";"0,19";"0,00";"0,00";"0,01";"0,00"
"Rondônia";"70 a 79 anos";"1,06";"1,02";"0,76";"0,93";"0,01";"0,01";"0,01";"0,00";"0,00";"0,00";"0,06";"0,06";"0,15";"0,06";"0,00";"-";"0,00";"0,01"
"Rondônia";"80 anos ou mais";"0,43";"0,46";"0,31";"0,33";"0,00";"0,00";"0,00";"-";"0,00";"0,00";"0,02";"0,02";"0,05";"0,02";"0,00";"-";"0,00";"0,00"
"Acre";"15 a 19 anos";"2,18";"2,02";"2,51";"2,55";"0,03";"0,02";"0,01";"0,03";"0,05";"0,04";"0,24";"0,21";"0,90";"0,75";"-";"0,00";"0,01";"0,01"
"Acre";"20 a 24 anos";"2,05";"1,79";"2,33";"2,61";"0,03";"0,03";"0,02";"0,01";"0,04";"0,03";"0,24";"0,25";"1,00";"0,81";"-";"0,00";"0,01";"0,01"
"Acre";"25 a 29 anos";"1,73";"1,78";"2,12";"2,31";"0,03";"0,02";"0,01";"0,02";"0,03";"0,02";"0,22";"0,23";"0,83";"0,71";"0,00";"0,00";"0,01";"0,00"
"Acre";"30 a 39 anos";"3,36";"3,24";"3,87";"4,56";"0,04";"0,06";"0,02";"0,03";"0,04";"0,03";"0,39";"0,47";"1,23";"0,95";"0,00";"-";"0,01";"0,01"
"Acre";"40 a 49 anos";"3,24";"2,94";"3,24";"3,98";"0,05";"0,09";"0,02";"0,02";"0,03";"0,02";"0,34";"0,37";"0,90";"0,57";"0,00";"0,00";"0,01";"0,01"
"Acre";"50 a 59 anos";"2,44";"2,21";"2,04";"2,55";"0,03";"0,04";"0,00";"0,01";"0,01";"0,01";"0,19";"0,22";"0,47";"0,27";"0,00";"0,00";"0,00";"0,00"
"Acre";"60 a 69 anos";"1,75";"1,58";"1,11";"1,50";"0,02";"0,03";"0,01";"0,00";"0,01";"0,00";"0,09";"0,11";"0,25";"0,13";"-";"-";"0,00";"0,00"
"Acre";"70 a 79 anos";"0,90";"0,88";"0,55";"0,71";"0,01";"0,01";"0,00";"0,00";"0,00";"0,00";"0,04";"0,06";"0,11";"0,05";"0,00";"-";"0,00";"0,00"
"Acre";"80 anos ou mais";"0,39";"0,44";"0,23";"0,29";"0,00";"0,01";"-";"-";"0,00";"0,00";"0,02";"0,03";"0,05";"0,03";"-";"-";"0,00";"0,00"
"Amazonas";"15 a 19 anos";"2,59";"2,37";"2,35";"2,45";"0,01";"0,01";"0,02";"0,02";"0,03";"0,03";"0,24";"0,26";"0,54";"0,47";"0,01";"0,00";"0,01";"0,01"
"Amazonas";"20 a 24 anos";"2,52";"2,43";"2,14";"2,30";"0,01";"0,01";"0,02";"0,02";"0,02";"0,02";"0,25";"0,28";"0,66";"0,53";"0,01";"0,01";"0,01";"0,01"
"Amazonas";"25 a 29 anos";"2,31";"2,23";"1,95";"2,15";"0,01";"0,02";"0,02";"0,03";"0,02";"0,02";"0,25";"0,26";"0,56";"0,46";"0,01";"0,00";"0,01";"0,01"
"Amazonas";"30 a 39 anos";"4,24";"4,27";"3,40";"3,93";"0,03";"0,03";"0,04";"0,04";"0,03";"0,02";"0,45";"0,45";"0,88";"0,64";"0,01";"0,01";"0,01";"0,01"
"Amazonas";"40 a 49 anos";"3,95";"3,77";"2,84";"3,30";"0,04";"0,04";"0,02";"0,02";"0,02";"0,02";"0,35";"0,40";"0,59";"0,41";"0,01";"0,00";"0,01";"0,01"
"Amazonas";"50 a 59 anos";"2,85";"2,65";"1,81";"2,16";"0,02";"0,04";"0,02";"0,02";"0,01";"0,01";"0,22";"0,24";"0,31";"0,17";"0,01";"0,00";"0,01";"0,01"
"Amazonas";"60 a 69 anos";"1,92";"1,88";"1,05";"1,29";"0,01";"0,03";"0,01";"0,00";"0,01";"0,01";"0,11";"0,15";"0,17";"0,07";"0,00";"0,00";"0,00";"0,00"
"Amazonas";"70 a 79 anos";"0,88";"0,95";"0,41";"0,57";"0,01";"0,01";"0,00";"0,00";"0,00";"0,00";"0,05";"0,06";"0,06";"0,03";"0,00";"0,00";"0,00";"0,00"
"Amazonas";"80 anos ou mais";"0,34";"0,47";"0,16";"0,24";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,02";"0,03";"0,02";"0,02";"0,00";"0,00";"0,00";"0,00"
"Roraima";"15 a 19 anos";"2,03";"1,86";"2,00";"2,04";"0,02";"0,01";"0,01";"0,02";"0,17";"0,16";"0,43";"0,42";"1,06";"1,04";"0,00";"0,00";"0,02";"0,03"
"Roraima";"20 a 24 anos";"1,88";"1,83";"1,77";"1,92";"0,03";"0,04";"0,03";"0,01";"0,11";"0,11";"0,46";"0,46";"1,36";"1,27";"0,02";"0,01";"0,04";"0,03"
"Roraima";"25 a 29 anos";"1,85";"1,85";"1,63";"1,85";"0,02";"0,02";"0,03";"0,02";"0,08";"0,08";"0,51";"0,50";"1,31";"1,20";"0,01";"0,00";"0,03";"0,01"
"Roraima";"30 a 39 anos";"3,63";"3,58";"2,97";"3,50";"0,04";"0,06";"0,05";"0,02";"0,13";"0,11";"0,86";"0,87";"1,84";"1,62";"0,02";"0,01";"0,03";"0,02"
"Roraima";"40 a 49 anos";"3,13";"3,07";"2,34";"2,97";"0,07";"0,09";"0,02";"0,03";"0,09";"0,08";"0,53";"0,59";"1,28";"1,00";"0,01";"0,00";"0,03";"0,02"
"Roraima";"50 a 59 anos";"2,40";"2,10";"1,59";"1,99";"0,05";"0,07";"0,02";"0,01";"0,05";"0,05";"0,33";"0,37";"0,70";"0,44";"0,01";"0,00";"0,01";"0,01"
"Roraima";"60 a 69 anos";"1,61";"1,41";"0,91";"1,20";"0,02";"0,03";"0,01";"0,00";"0,04";"0,04";"0,18";"0,15";"0,35";"0,21";"0,00";"0,00";"0,01";"0,00"
"Roraima";"70 a 79 anos";"0,77";"0,60";"0,42";"0,51";"0,02";"0,02";"0,00";"0,00";"0,01";"0,01";"0,06";"0,09";"0,14";"0,06";"0,00";"0,00";"0,00";"0,00"
"Roraima";"80 anos ou mais";"0,24";"0,28";"0,17";"0,20";"0,01";"0,00";"-";"0,00";"0,00";"0,00";"0,01";"0,03";"0,06";"0,04";"-";"-";"0,00";"0,00"
"Pará";"15 a 19 anos";"2,81";"2,63";"1,94";"2,00";"0,01";"0,01";"0,01";"0,02";"0,00";"0,00";"0,13";"0,13";"0,51";"0,44";"0,00";"0,00";"0,01";"0,01"
"Pará";"20 a 24 anos";"2,74";"2,58";"1,71";"1,90";"0,01";"0,02";"0,02";"0,02";"0,00";"0,00";"0,13";"0,13";"0,60";"0,49";"0,00";"0,00";"0,01";"0,01"
"Pará";"25 a 29 anos";"2,51";"2,45";"1,58";"1,91";"0,01";"0,01";"0,02";"0,02";"0,00";"0,00";"0,12";"0,14";"0,55";"0,40";"0,00";"0,00";"0,01";"0,01"
"Pará";"30 a 39 anos";"5,05";"4,94";"3,06";"3,74";"0,03";"0,04";"0,04";"0,03";"0,00";"0,00";"0,24";"0,27";"0,86";"0,62";"0,01";"0,00";"0,01";"0,01"
"Pará";"40 a 49 anos";"4,60";"4,31";"2,54";"3,09";"0,03";"0,04";"0,03";"0,03";"0,00";"0,00";"0,19";"0,22";"0,61";"0,36";"0,00";"0,00";"0,01";"0,01"
"Pará";"50 a 59 anos";"3,40";"3,17";"1,67";"2,10";"0,03";"0,04";"0,01";"0,02";"0,00";"0,00";"0,12";"0,14";"0,34";"0,16";"0,00";"0,00";"0,00";"0,00"
"Pará";"60 a 69 anos";"2,38";"2,25";"1,00";"1,32";"0,02";"0,03";"0,01";"0,01";"0,00";"0,00";"0,07";"0,09";"0,19";"0,08";"0,00";"0,00";"0,00";"0,00"
"Pará";"70 a 79 anos";"1,19";"1,21";"0,48";"0,65";"0,01";"0,01";"0,00";"0,01";"0,00";"0,00";"0,03";"0,04";"0,08";"0,03";"0,00";"0,00";"0,00";"0,00"
"Pará";"80 anos ou mais";"0,47";"0,64";"0,20";"0,28";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,01";"0,02";"0,03";"0,02";"0,00";"-";"0,00";"0,00"
"Amapá";"15 a 19 anos";"2,77";"2,50";"2,11";"2,25";"0,01";"0,02";"0,03";"0,05";"0,01";"0,02";"0,17";"0,19";"0,56";"0,51";"0,03";"0,00";"0,01";"0,01"
"Amapá";"20 a 24 anos";"2,77";"2,64";"1,99";"2,21";"0,02";"0,01";"0,04";"0,02";"0,01";"0,01";"0,18";"0,19";"0,73";"0,69";"0,11";"0,02";"0,01";"0,01"
"Amapá";"25 a 29 anos";"2,43";"2,45";"1,70";"2,10";"0,03";"0,03";"0,05";"0,04";"0,01";"0,01";"0,21";"0,22";"0,61";"0,52";"0,12";"0,00";"0,00";"0,01"
"Amapá";"30 a 39 anos";"4,96";"5,07";"3,03";"3,73";"0,04";"0,07";"0,03";"0,03";"0,01";"0,01";"0,24";"0,30";"0,92";"0,59";"0,10";"0,00";"0,01";"0,01"
"Amapá";"40 a 49 anos";"4,11";"4,10";"2,54";"3,18";"0,03";"0,06";"0,05";"0,06";"0,01";"0,01";"0,30";"0,32";"0,54";"0,34";"0,05";"0,01";"0,01";"0,01"
"Amapá";"50 a 59 anos";"3,03";"2,90";"1,57";"1,97";"0,04";"0,06";"0,01";"0,02";"0,00";"0,00";"0,16";"0,16";"0,34";"0,17";"0,01";"-";"0,01";"0,00"
"Amapá";"60 a 69 anos";"1,92";"1,84";"0,85";"1,12";"0,01";"0,03";"0,01";"0,00";"0,00";"0,00";"0,07";"0,10";"0,15";"0,07";"0,00";"-";"0,00";"0,00"
"Amapá";"70 a 79 anos";"0,88";"0,88";"0,39";"0,50";"0,01";"0,00";"-";"-";"0,00";"0,00";"0,03";"0,04";"0,07";"0,02";"-";"0,00";"0,00";"0,00"
"Amapá";"80 anos ou mais";"0,34";"0,47";"0,17";"0,22";"0,00";"0,00";"-";"-";"0,00";"0,00";"0,02";"0,01";"0,02";"0,02";"-";"-";"0,00";"0,00"
"Tocantins";"15 a 19 anos";"2,78";"2,59";"1,51";"1,65";"0,02";"0,02";"0,00";"0,01";"0,03";"0,03";"0,14";"0,14";"0,46";"0,39";"0,00";"0,00";"0,01";"0,01"
"Tocantins";"20 a 24 anos";"2,69";"2,65";"1,40";"1,51";"0,02";"0,01";"0,01";"0,01";"0,02";"0,02";"0,15";"0,16";"0,53";"0,45";"0,00";"0,00";"0,01";"0,01"
"Tocantins";"25 a 29 anos";"2,61";"2,53";"1,24";"1,54";"0,02";"0,02";"0,01";"0,01";"0,02";"0,02";"0,15";"0,18";"0,50";"0,37";"0,00";"0,00";"0,01";"0,00"
"Tocantins";"30 a 39 anos";"5,28";"5,12";"2,53";"3,29";"0,04";"0,06";"0,02";"0,01";"0,03";"0,02";"0,28";"0,29";"0,74";"0,53";"0,00";"0,00";"0,01";"0,01"
"Tocantins";"40 a 49 anos";"5,17";"4,72";"2,30";"2,97";"0,04";"0,06";"0,01";"0,01";"0,02";"0,01";"0,23";"0,25";"0,56";"0,35";"0,00";"0,00";"0,01";"0,01"
"Tocantins";"50 a 59 anos";"3,98";"3,62";"1,63";"2,13";"0,04";"0,06";"0,01";"0,00";"0,01";"0,01";"0,13";"0,16";"0,33";"0,16";"0,00";"0,00";"0,00";"0,00"
"Tocantins";"60 a 69 anos";"2,86";"2,46";"0,92";"1,40";"0,04";"0,04";"0,01";"0,00";"0,01";"0,00";"0,08";"0,08";"0,20";"0,08";"0,00";"0,00";"0,00";"0,00"
"Tocantins";"70 a 79 anos";"1,58";"1,39";"0,54";"0,70";"0,02";"0,02";"0,00";"0,00";"0,00";"0,00";"0,03";"0,03";"0,10";"0,03";"0,00";"-";"0,00";"0,00"
"Tocantins";"80 anos ou mais";"0,78";"0,74";"0,24";"0,30";"0,01";"0,01";"0,00";"0,00";"0,00";"0,00";"0,01";"0,02";"0,03";"0,01";"0,00";"-";"0,00";"0,00"
"Maranhão";"15 a 19 anos";"3,46";"3,20";"1,34";"1,46";"0,00";"0,01";"0,01";"0,02";"0,01";"0,01";"0,11";"0,12";"0,50";"0,45";"0,00";"0,00";"0,01";"0,01"
"Maranhão";"20 a 24 anos";"3,13";"3,02";"1,13";"1,36";"0,01";"0,01";"0,02";"0,02";"0,01";"0,01";"0,12";"0,13";"0,56";"0,48";"0,00";"0,00";"0,01";"0,01"
