"Tabela 8476 - Pessoas de 18 anos ou mais de idade com excesso de peso ou obesidade, por sexo e situação do domicílio"
"Variável - Pessoas de 18 anos ou mais de idade com excesso de peso (Mil pessoas)"
"Brasil, Grande Região e Unidade da Federação";"Situação do domicílio";"Ano x Sexo"
"Brasil, Grande Região e Unidade da Federação";"Situação do domicílio";"2013"
"Brasil, Grande Região e Unidade da Federação";"Situação do domicílio";"Homens";"Mulheres"
"Paraíba";"Total";"163,466";"306,613"
"Pernambuco";"Total";"487,714";"802,556"
"Alagoas";"Total";"151,096";"306,197"
"Sergipe";"Total";"115,803";"188,880"
"Bahia";"Total";"636,875";"1115,047"
"Minas Gerais";"Total";"925,634";"1667,950"
"Espírito Santo";"Total";"166,513";"311,601"
"Rio de Janeiro";"Total";"1120,315";"1829,695"
"São Paulo";"Total";"2994,649";"4968,871"
"Paraná";"Total";"700,571";"995,057"
"Santa Catarina";"Total";"531,335";"752,681"
"Rio Grande do Sul";"Total";"801,687";"1149,194"
"Mato Grosso do Sul";"Total";"175,989";"246,092"
"Mato Grosso";"Total";"268,061";"293,693"
"Goiás";"Total";"376,498";"598,208"
"Distrito Federal";"Total";"164,295";"230,424"
"Fonte: IBGE - Pesquisa Nacional de Saúde"

"Tabela 8476 - Pessoas de 18 anos ou mais de idade com excesso de peso ou obesidade, por sexo e situação do domicílio"
"Variável - Pessoas de 18 anos ou mais de idade com obesidade, considerando um intervalo de confiança de 95% - limite inferior (Mil pessoas)"
"Brasil, Grande Região e Unidade da Federação";"Situação do domicílio";"Ano x Sexo"
"Brasil, Grande Região e Unidade da Federação";"Situação do domicílio";"2013"
"Brasil, Grande Região e Unidade da Federação";"Situação do domicílio";"Homens";"Mulheres"
"Brasil";"Total";"10954,379";"17840,673"
"Norte";"Total";"699,344";"1004,738"
"Nordeste";"Total";"2277,287";"4074,402"
"Sudeste";"Total";"4746,868";"8282,178"
"Sul";"Total";"1831,423";"2662,275"
"Centro-Oeste";"Total";"899,731";"1280,752"
"Rondônia";"Total";"69,310";"117,543"
"Acre";"Total";"29,591";"46,497"
"Amazonas";"Total";"195,133";"221,348"
"Roraima";"Total";"20,217";"24,170"
"Pará";"Total";"230,509";"397,151"
"Amapá";"Total";"30,063";"43,339"
"Tocantins";"Total";"51,681";"77,493"
"Maranhão";"Total";"135,296";"341,605"
"Piauí";"Total";"98,810";"165,183"
"Ceará";"Total";"363,267";"593,602"
"Rio Grande do Norte";"Total";"150,426";"273,024"
"Paraíba";"Total";"128,943";"261,144"
"Pernambuco";"Total";"411,799";"715,161"
"Alagoas";"Total";"125,979";"271,878"
"Sergipe";"Total";"90,987";"163,972"
"Bahia";"Total";"455,385";"925,520"
"Minas Gerais";"Total";"719,402";"1399,676"
"Espírito Santo";"Total";"125,249";"246,881"
"Rio de Janeiro";"Total";"971,614";"1671,077"
"São Paulo";"Total";"2613,234";"4588,561"
"Paraná";"Total";"580,507";"867,879"
"Santa Catarina";"Total";"416,546";"636,807"
"Rio Grande do Sul";"Total";"686,445";"989,623"
"Mato Grosso do Sul";"Total";"144,058";"215,909"
"Mato Grosso";"Total";"228,152";"251,794"
"Goiás";"Total";"314,905";"534,599"
"Distrito Federal";"Total";"135,344";"199,241"
"Fonte: IBGE - Pesquisa Nacional de Saúde"

"Tabela 8476 - Pessoas de 18 anos ou mais de idade com excesso de peso ou obesidade, por sexo e situação do domicílio"
"Variável - Pessoas de 18 anos ou mais de idade com obesidade, considerando um intervalo de confiança de 95% - limite superior (Mil pessoas)"
"Brasil, Grande Região e Unidade da Federação";"Situação do domicílio";"Ano x Sexo"
"Brasil, Grande Região e Unidade da Federação";"Situação do domicílio";"2013"
"Brasil, Grande Região e Unidade da Federação";"Situação do domicílio";"Homens";"Mulheres"
"Brasil";"Total";"12089,187";"19070,052"
"Norte";"Total";"871,076";"1171,512"
"Nordeste";"Total";"2744,763";"4573,139"
"Sudeste";"Total";"5667,354";"9274,058"
"Sul";"Total";"2235,763";"3131,589"
"Centro-Oeste";"Total";"1069,958";"1456,081"
"Rondônia";"Total";"105,210";"151,494"
"Acre";"Total";"42,635";"62,434"
"Amazonas";"Total";"251,274";"288,563"
"Roraima";"Total";"30,618";"32,853"
"Pará";"Total";"383,146";"539,523"
"Amapá";"Total";"43,295";"61,512"
"Tocantins";"Total";"87,737";"112,328"
"Maranhão";"Total";"232,828";"481,165"
"Piauí";"Total";"160,787";"242,452"
"Ceará";"Total";"553,369";"758,144"
"Rio Grande do Norte";"Total";"217,360";"353,780"
"Paraíba";"Total";"197,988";"352,082"
"Pernambuco";"Total";"563,628";"889,952"
"Alagoas";"Total";"176,213";"340,515"
"Sergipe";"Total";"140,620";"213,788"
"Bahia";"Total";"818,365";"1304,573"
"Minas Gerais";"Total";"1131,866";"1936,225"
"Espírito Santo";"Total";"207,778";"376,322"
"Rio de Janeiro";"Total";"1269,016";"1988,313"
"São Paulo";"Total";"3376,065";"5349,182"
"Paraná";"Total";"820,635";"1122,235"
"Santa Catarina";"Total";"646,124";"868,554"
"Rio Grande do Sul";"Total";"916,929";"1308,766"
"Mato Grosso do Sul";"Total";"207,921";"276,275"
"Mato Grosso";"Total";"307,971";"335,593"
"Goiás";"Total";"438,091";"661,816"
"Distrito Federal";"Total";"193,247";"261,607"
"Fonte: IBGE - Pesquisa Nacional de Saúde"

"Tabela 8476 - Pessoas de 18 anos ou mais de idade com excesso de peso ou obesidade, por sexo e situação do domicílio"
"Variável - Coeficiente de variação - Pessoas de 18 anos ou mais de idade com obesidade (%)"
"Brasil, Grande Região e Unidade da Federação";"Situação do domicílio";"Ano x Sexo"
"Brasil, Grande Região e Unidade da Federação";"Situação do domicílio";"2013"
"Brasil, Grande Região e Unidade da Federação";"Situação do domicílio";"Homens";"Mulheres"
"Brasil";"Total";"2,5";"1,7"
"Norte";"Total";"5,6";"3,9"
"Nordeste";"Total";"4,7";"2,9"
"Sudeste";"Total";"4,5";"2,9"
"Sul";"Total";"5,1";"4,1"
"Centro-Oeste";"Total";"4,4";"3,3"
"Rondônia";"Total";"10,5";"6,4"
"Acre";"Total";"9,2";"7,5"
"Amazonas";"Total";"6,4";"6,7"
"Roraima";"Total";"10,4";"7,8"
"Pará";"Total";"12,7";"7,8"
"Amapá";"Total";"9,2";"8,8"
"Tocantins";"Total";"13,2";"9,4"
"Maranhão";"Total";"13,5";"8,7"
"Piauí";"Total";"12,2";"9,7"
"Ceará";"Total";"10,6";"6,2"
"Rio Grande do Norte";"Total";"9,3";"6,6"
"Paraíba";"Total";"10,8";"7,6"
"Pernambuco";"Total";"7,9";"5,6"
"Alagoas";"Total";"8,5";"5,7"
"Sergipe";"Total";"10,9";"6,7"
"Bahia";"Total";"14,5";"8,7"
"Minas Gerais";"Total";"11,4";"8,2"
"Espírito Santo";"Total";"12,6";"10,6"
"Rio de Janeiro";"Total";"6,8";"4,4"
"São Paulo";"Total";"6,5";"3,9"
"Paraná";"Total";"8,7";"6,5"
"Santa Catarina";"Total";"11,0";"7,9"
