"Tabela 2657 - Estimativas populacionais das medianas de altura e peso de crianças, adolescentes e adultos, por sexo e idade - Unidades da Federação"
"Variável - População (Pessoas)"
"Unidade da Federação";"Idade";"Ano x Sexo"
"Unidade da Federação";"Idade";"2002";;"2008"
"Unidade da Federação";"Idade";"Masculino";"Feminino";"Masculino";"Feminino"
"Rio Grande do Sul";"19 anos";"97988";"91345";"77565";"74237"
"Rio Grande do Sul";"20 a 24 anos";"...";"...";"410822";"392004"
"Rio Grande do Sul";"25 a 29 anos";"...";"...";"411783";"388803"
"Rio Grande do Sul";"30 a 34 anos";"...";"...";"355941";"395479"
"Rio Grande do Sul";"35 a 44 anos";"...";"...";"811799";"808995"
"Rio Grande do Sul";"45 a 54 anos";"...";"...";"695669";"751060"
"Rio Grande do Sul";"55 a 64 anos";"...";"...";"465819";"551305"
"Rio Grande do Sul";"65 a 74 anos";"...";"...";"280593";"349296"
"Rio Grande do Sul";"75 anos ou mais";"...";"...";"141381";"246616"
"Mato Grosso do Sul";"18 anos";"20302";"15912";"21388";"15224"
"Mato Grosso do Sul";"19 anos";"25689";"25639";"19155";"23826"
"Mato Grosso do Sul";"20 a 24 anos";"...";"...";"94805";"93953"
"Mato Grosso do Sul";"25 a 29 anos";"...";"...";"107165";"109100"
"Mato Grosso do Sul";"30 a 34 anos";"...";"...";"87663";"103020"
"Mato Grosso do Sul";"35 a 44 anos";"...";"...";"168649";"168825"
"Mato Grosso do Sul";"45 a 54 anos";"...";"...";"115189";"129610"
"Mato Grosso do Sul";"55 a 64 anos";"...";"...";"85912";"96544"
"Mato Grosso do Sul";"65 a 74 anos";"...";"...";"60908";"58669"
"Mato Grosso do Sul";"75 anos ou mais";"...";"...";"30913";"30000"
"Mato Grosso";"18 anos";"30067";"21404";"24323";"25444"
"Mato Grosso";"19 anos";"28234";"24610";"25806";"23033"
"Mato Grosso";"20 a 24 anos";"...";"...";"128962";"122285"
"Mato Grosso";"25 a 29 anos";"...";"...";"126681";"151100"
"Mato Grosso";"30 a 34 anos";"...";"...";"134581";"115207"
"Mato Grosso";"35 a 44 anos";"...";"...";"215217";"228796"
"Mato Grosso";"45 a 54 anos";"...";"...";"180833";"180287"
"Mato Grosso";"55 a 64 anos";"...";"...";"113563";"105055"
"Mato Grosso";"65 a 74 anos";"...";"...";"54413";"64679"
"Mato Grosso";"75 anos ou mais";"...";"...";"30673";"26670"
"Goiás";"18 anos";"41086";"35787";"49845";"36364"
"Goiás";"19 anos";"49756";"51222";"49124";"53613"
"Goiás";"20 a 24 anos";"...";"...";"250047";"246209"
"Goiás";"25 a 29 anos";"...";"...";"262731";"251377"
"Goiás";"30 a 34 anos";"...";"...";"254128";"261876"
"Goiás";"35 a 44 anos";"...";"...";"388041";"418500"
"Goiás";"45 a 54 anos";"...";"...";"294128";"370491"
"Goiás";"55 a 64 anos";"...";"...";"221899";"234892"
"Goiás";"65 a 74 anos";"...";"...";"132571";"119921"
"Goiás";"75 anos ou mais";"...";"...";"55852";"78188"
"Distrito Federal";"18 anos";"27569";"15378";"31518";"28539"
"Distrito Federal";"19 anos";"27538";"22238";"25045";"24510"
"Distrito Federal";"20 a 24 anos";"...";"...";"115668";"102268"
"Distrito Federal";"25 a 29 anos";"...";"...";"134262";"133411"
"Distrito Federal";"30 a 34 anos";"...";"...";"101212";"115664"
"Distrito Federal";"35 a 44 anos";"...";"...";"165497";"191615"
"Distrito Federal";"45 a 54 anos";"...";"...";"125785";"161899"
"Distrito Federal";"55 a 64 anos";"...";"...";"71210";"99007"
"Distrito Federal";"65 a 74 anos";"...";"...";"40475";"49593"
"Distrito Federal";"75 anos ou mais";"...";"...";"22752";"29506"
"Fonte: IBGE - Pesquisa de Orçamentos Familiares"

"Tabela 2657 - Estimativas populacionais das medianas de altura e peso de crianças, adolescentes e adultos, por sexo e idade - Unidades da Federação"
"Variável - Mediana de altura (Centímetros)"
"Unidade da Federação";"Idade";"Ano x Sexo"
"Unidade da Federação";"Idade";"2002";;"2008"
"Unidade da Federação";"Idade";"Masculino";"Feminino";"Masculino";"Feminino"
"Rondônia";"18 anos";"171,5";"159,6";"171,3";"161,0"
"Rondônia";"19 anos";"170,0";"158,0";"170,3";"160,6"
"Rondônia";"20 a 24 anos";"...";"...";"171,0";"160,5"
"Rondônia";"25 a 29 anos";"...";"...";"171,7";"158,4"
"Rondônia";"30 a 34 anos";"...";"...";"171,6";"158,1"
"Rondônia";"35 a 44 anos";"...";"...";"170,8";"158,9"
"Rondônia";"45 a 54 anos";"...";"...";"169,8";"157,5"
"Rondônia";"55 a 64 anos";"...";"...";"169,3";"154,9"
"Rondônia";"65 a 74 anos";"...";"...";"165,2";"153,0"
"Rondônia";"75 anos ou mais";"...";"...";"160,3";"150,9"
"Acre";"18 anos";"164,9";"157,0";"171,3";"158,1"
"Acre";"19 anos";"167,3";"157,9";"170,2";"159,1"
"Acre";"20 a 24 anos";"...";"...";"169,4";"158,3"
"Acre";"25 a 29 anos";"...";"...";"168,9";"158,0"
"Acre";"30 a 34 anos";"...";"...";"169,6";"155,6"
"Acre";"35 a 44 anos";"...";"...";"168,1";"157,3"
"Acre";"45 a 54 anos";"...";"...";"166,3";"154,5"
"Acre";"55 a 64 anos";"...";"...";"164,0";"152,3"
"Acre";"65 a 74 anos";"...";"...";"160,9";"151,7"
"Acre";"75 anos ou mais";"...";"...";"159,1";"146,9"
"Amazonas";"18 anos";"164,5";"154,8";"169,7";"156,9"
"Amazonas";"19 anos";"166,5";"159,0";"167,0";"157,5"
"Amazonas";"20 a 24 anos";"...";"...";"168,5";"158,1"
"Amazonas";"25 a 29 anos";"...";"...";"169,6";"157,8"
"Amazonas";"30 a 34 anos";"...";"...";"167,8";"157,9"
"Amazonas";"35 a 44 anos";"...";"...";"169,0";"157,9"
"Amazonas";"45 a 54 anos";"...";"...";"166,4";"156,1"
"Amazonas";"55 a 64 anos";"...";"...";"166,6";"154,5"
"Amazonas";"65 a 74 anos";"...";"...";"164,1";"153,2"
"Amazonas";"75 anos ou mais";"...";"...";"162,7";"151,8"
"Roraima";"18 anos";"168,9";"152,7";"170,4";"160,3"
"Roraima";"19 anos";"164,8";"157,0";"169,8";"156,3"
"Roraima";"20 a 24 anos";"...";"...";"170,8";"158,0"
"Roraima";"25 a 29 anos";"...";"...";"170,7";"156,9"
"Roraima";"30 a 34 anos";"...";"...";"168,3";"157,5"
"Roraima";"35 a 44 anos";"...";"...";"169,0";"156,2"
"Roraima";"45 a 54 anos";"...";"...";"166,2";"156,5"
"Roraima";"55 a 64 anos";"...";"...";"164,9";"153,2"
"Roraima";"65 a 74 anos";"...";"...";"163,4";"151,0"
"Roraima";"75 anos ou mais";"...";"...";"162,1";"151,6"
"Pará";"18 anos";"168,8";"155,0";"169,2";"157,4"
"Pará";"19 anos";"169,4";"152,9";"169,7";"155,6"
"Pará";"20 a 24 anos";"...";"...";"168,6";"156,2"
"Pará";"25 a 29 anos";"...";"...";"168,4";"156,8"
"Pará";"30 a 34 anos";"...";"...";"166,9";"155,8"
"Pará";"35 a 44 anos";"...";"...";"166,6";"154,5"
"Pará";"45 a 54 anos";"...";"...";"165,8";"153,1"
"Pará";"55 a 64 anos";"...";"...";"163,2";"152,9"
"Pará";"65 a 74 anos";"...";"...";"161,5";"152,2"
"Pará";"75 anos ou mais";"...";"...";"162,2";"148,1"
"Amapá";"18 anos";"168,4";"156,6";"170,1";"160,9"
"Amapá";"19 anos";"168,6";"158,2";"172,4";"155,7"
"Amapá";"20 a 24 anos";"...";"...";"169,9";"158,2"
"Amapá";"25 a 29 anos";"...";"...";"169,9";"156,2"
"Amapá";"30 a 34 anos";"...";"...";"169,0";"158,6"
"Amapá";"35 a 44 anos";"...";"...";"168,6";"157,4"
"Amapá";"45 a 54 anos";"...";"...";"166,1";"158,0"
"Amapá";"55 a 64 anos";"...";"...";"164,3";"154,4"
"Amapá";"65 a 74 anos";"...";"...";"162,2";"155,7"
"Amapá";"75 anos ou mais";"...";"...";"162,1";"149,5"
"Tocantins";"18 anos";"169,7";"159,1";"167,9";"160,1"
