"Tabela 4179 - Pessoas de 18 anos ou mais de idade fumantes atuais de tabaco, por grupo de idade e situação do domicílio"
"Variável - Percentual de pessoas de 18 anos ou mais de idade fumantes atuais de tabaco (%)"
"Brasil, Grande Região e Unidade da Federação";"Situação do domicílio";"Ano x Grupo de idade"
"Brasil, Grande Região e Unidade da Federação";"Situação do domicílio";"2019"
"Brasil, Grande Região e Unidade da Federação";"Situação do domicílio";"18 a 24 anos";"25 a 39 anos";"40 a 59 anos";"60 anos ou mais"
"Ceará";"Total";"3,0";"8,4";"11,8";"12,2"
"Ceará";"Urbana";"-";"-";"-";"-"
"Ceará";"Rural";"-";"-";"-";"-"
"Rio Grande do Norte";"Total";"6,0";"5,5";"11,8";"8,5"
"Rio Grande do Norte";"Urbana";"-";"-";"-";"-"
"Rio Grande do Norte";"Rural";"-";"-";"-";"-"
"Paraíba";"Total";"4,5";"6,5";"12,8";"10,1"
"Paraíba";"Urbana";"-";"-";"-";"-"
"Paraíba";"Rural";"-";"-";"-";"-"
"Pernambuco";"Total";"6,8";"8,1";"10,3";"8,7"
"Pernambuco";"Urbana";"-";"-";"-";"-"
"Pernambuco";"Rural";"-";"-";"-";"-"
"Alagoas";"Total";"5,2";"6,4";"10,8";"9,1"
"Alagoas";"Urbana";"-";"-";"-";"-"
"Alagoas";"Rural";"-";"-";"-";"-"
"Sergipe";"Total";"2,7";"6,2";"9,4";"7,4"
"Sergipe";"Urbana";"-";"-";"-";"-"
"Sergipe";"Rural";"-";"-";"-";"-"
"Bahia";"Total";"4,2";"4,8";"9,7";"8,8"
"Bahia";"Urbana";"-";"-";"-";"-"
"Bahia";"Rural";"-";"-";"-";"-"
"Minas Gerais";"Total";"7,9";"9,5";"12,6";"9,6"
"Minas Gerais";"Urbana";"-";"-";"-";"-"
"Minas Gerais";"Rural";"-";"-";"-";"-"
"Espírito Santo";"Total";"4,7";"8,0";"9,9";"7,1"
"Espírito Santo";"Urbana";"-";"-";"-";"-"
"Espírito Santo";"Rural";"-";"-";"-";"-"
"Rio de Janeiro";"Total";"7,2";"10,5";"11,5";"8,9"
"Rio de Janeiro";"Urbana";"-";"-";"-";"-"
"Rio de Janeiro";"Rural";"-";"-";"-";"-"
"São Paulo";"Total";"11,0";"11,1";"14,9";"9,4"
"São Paulo";"Urbana";"-";"-";"-";"-"
"São Paulo";"Rural";"-";"-";"-";"-"
"Paraná";"Total";"10,1";"12,9";"12,6";"9,3"
"Paraná";"Urbana";"-";"-";"-";"-"
"Paraná";"Rural";"-";"-";"-";"-"
"Santa Catarina";"Total";"5,9";"10,6";"12,9";"9,4"
"Santa Catarina";"Urbana";"-";"-";"-";"-"
"Santa Catarina";"Rural";"-";"-";"-";"-"
"Rio Grande do Sul";"Total";"8,2";"12,6";"16,2";"11,5"
"Rio Grande do Sul";"Urbana";"-";"-";"-";"-"
"Rio Grande do Sul";"Rural";"-";"-";"-";"-"
"Mato Grosso do Sul";"Total";"11,2";"12,1";"14,6";"8,4"
"Mato Grosso do Sul";"Urbana";"-";"-";"-";"-"
"Mato Grosso do Sul";"Rural";"-";"-";"-";"-"
"Mato Grosso";"Total";"8,4";"10,9";"11,3";"5,2"
"Mato Grosso";"Urbana";"-";"-";"-";"-"
"Mato Grosso";"Rural";"-";"-";"-";"-"
"Goiás";"Total";"6,8";"9,7";"12,6";"10,2"
"Goiás";"Urbana";"-";"-";"-";"-"
"Goiás";"Rural";"-";"-";"-";"-"
"Distrito Federal";"Total";"7,3";"8,9";"9,0";"5,9"
"Distrito Federal";"Urbana";"-";"-";"-";"-"
"Distrito Federal";"Rural";"-";"-";"-";"-"
"Fonte: IBGE - Pesquisa Nacional de Saúde"

"Tabela 4179 - Pessoas de 18 anos ou mais de idade fumantes atuais de tabaco, por grupo de idade e situação do domicílio"
"Variável - Percentual de pessoas de 18 anos ou mais de idade fumantes atuais de tabaco, considerando um intervalo de confiança de 95% - limite superior (%)"
"Brasil, Grande Região e Unidade da Federação";"Situação do domicílio";"Ano x Grupo de idade"
"Brasil, Grande Região e Unidade da Federação";"Situação do domicílio";"2019"
"Brasil, Grande Região e Unidade da Federação";"Situação do domicílio";"18 a 24 anos";"25 a 39 anos";"40 a 59 anos";"60 anos ou mais"
"Brasil";"Total";"11,9";"12,5";"15,4";"12,1"
"Brasil";"Urbana";"12,4";"12,7";"15,1";"11,6"
"Brasil";"Rural";"11,0";"12,7";"18,6";"16,5"
"Norte";"Total";"9,6";"12,4";"13,5";"10,8"
"Norte";"Urbana";"-";"-";"-";"-"
"Norte";"Rural";"-";"-";"-";"-"
"Nordeste";"Total";"8,8";"9,7";"14,4";"13,1"
"Nordeste";"Urbana";"-";"-";"-";"-"
"Nordeste";"Rural";"-";"-";"-";"-"
"Sudeste";"Total";"15,5";"14,1";"16,7";"12,5"
"Sudeste";"Urbana";"-";"-";"-";"-"
"Sudeste";"Rural";"-";"-";"-";"-"
"Sul";"Total";"15,6";"17,2";"18,1";"13,7"
"Sul";"Urbana";"-";"-";"-";"-"
"Sul";"Rural";"-";"-";"-";"-"
"Centro-Oeste";"Total";"14,6";"14,7";"16,6";"12,7"
"Centro-Oeste";"Urbana";"-";"-";"-";"-"
"Centro-Oeste";"Rural";"-";"-";"-";"-"
"Rondônia";"Total";"16,9";"13,0";"14,2";"10,7"
"Rondônia";"Urbana";"-";"-";"-";"-"
"Rondônia";"Rural";"-";"-";"-";"-"
"Acre";"Total";"17,6";"13,7";"20,2";"19,8"
"Acre";"Urbana";"-";"-";"-";"-"
"Acre";"Rural";"-";"-";"-";"-"
"Amazonas";"Total";"10,6";"14,6";"13,6";"10,5"
"Amazonas";"Urbana";"-";"-";"-";"-"
"Amazonas";"Rural";"-";"-";"-";"-"
"Roraima";"Total";"13,8";"15,9";"16,3";"11,4"
"Roraima";"Urbana";"-";"-";"-";"-"
"Roraima";"Rural";"-";"-";"-";"-"
"Pará";"Total";"10,1";"13,4";"14,2";"11,6"
"Pará";"Urbana";"-";"-";"-";"-"
"Pará";"Rural";"-";"-";"-";"-"
"Amapá";"Total";"13,0";"14,1";"18,5";"14,6"
"Amapá";"Urbana";"-";"-";"-";"-"
"Amapá";"Rural";"-";"-";"-";"-"
"Tocantins";"Total";"12,6";"15,4";"19,5";"17,9"
"Tocantins";"Urbana";"-";"-";"-";"-"
"Tocantins";"Rural";"-";"-";"-";"-"
"Maranhão";"Total";"11,0";"12,1";"15,4";"14,0"
"Maranhão";"Urbana";"-";"-";"-";"-"
"Maranhão";"Rural";"-";"-";"-";"-"
"Piauí";"Total";"12,9";"13,1";"15,2";"15,9"
"Piauí";"Urbana";"-";"-";"-";"-"
"Piauí";"Rural";"-";"-";"-";"-"
"Ceará";"Total";"7,7";"12,6";"15,9";"17,2"
"Ceará";"Urbana";"-";"-";"-";"-"
"Ceará";"Rural";"-";"-";"-";"-"
"Rio Grande do Norte";"Total";"17,0";"10,6";"17,2";"14,2"
"Rio Grande do Norte";"Urbana";"-";"-";"-";"-"
"Rio Grande do Norte";"Rural";"-";"-";"-";"-"
"Paraíba";"Total";"10,6";"11,2";"18,8";"16,6"
"Paraíba";"Urbana";"-";"-";"-";"-"
"Paraíba";"Rural";"-";"-";"-";"-"
"Pernambuco";"Total";"13,1";"13,0";"16,4";"13,2"
"Pernambuco";"Urbana";"-";"-";"-";"-"
"Pernambuco";"Rural";"-";"-";"-";"-"
"Alagoas";"Total";"12,4";"10,6";"16,0";"14,8"
"Alagoas";"Urbana";"-";"-";"-";"-"
"Alagoas";"Rural";"-";"-";"-";"-"
"Sergipe";"Total";"9,9";"10,5";"14,5";"13,1"
"Sergipe";"Urbana";"-";"-";"-";"-"
"Sergipe";"Rural";"-";"-";"-";"-"
"Bahia";"Total";"12,0";"8,9";"16,2";"14,6"
"Bahia";"Urbana";"-";"-";"-";"-"
"Bahia";"Rural";"-";"-";"-";"-"
"Minas Gerais";"Total";"17,0";"13,6";"17,1";"14,2"
"Minas Gerais";"Urbana";"-";"-";"-";"-"
